WarningText_lang,ID,SpellID,OverrideCriticalTimeRemaining,Priority,PlayerConditionID,SoundKitID,Field_10_1_5_50199_007
,2,358434,0,0,0,0,0
,4,388446,2000,1,0,0,0
,5,314124,0,0,0,12197,0
,6,251742,0,0,0,183768,0
,10,394425,0,1,0,0,0
,11,358608,0,0,0,0,0
,12,387623,0,0,0,0,0
,13,395256,3000,1,0,63968,0
,14,396363,4000,0,0,0,0
,19,369192,10000,0,0,0,0
A corrosão está prestes a corromper sua mente!,24,407406,5000,0,0,0,0
[DNT] Test Stacks,25,409063,15000,1,0,12202,2
Entulho Rolante em colapso!,27,461536,5000,0,0,0,0
Seu Destino começa a se separar!,28,1224865,0,0,5793,0,15
Uma Onda de Choque Cristalina ocorrerá em breve!,31,1243721,8000,0,0,0,0
Um Aprisionamento em Cristal ocorrerá em breve!,32,1227373,6000,0,0,0,0
O Pavor do Desconhecido vai irromper em breve!,34,1225221,3000,0,0,0,0
A Reshii Elevada está quase esgotada!,35,1235114,4000,0,0,0,0
Prestes a ser fulminado!,39,1246457,0,0,0,0,0
