Name_lang,Description_lang,ID,StoreFrontID,AccountStoreCategoryID,OrderIndex,Price,CurrencyTypesID,Field_11_0_7_57361_008,RefundDuration,Field_11_0_7_57361_010,Field_11_0_7_57361_011,SpellID,TransmogSetID,CreatureDisplayInfoID,UiModelSceneID,Icon,Field_12_0_0_63534_017,Field_12_0_0_63534_018,Field_12_0_0_63534_019
Веселюша,"|cFF00ccffПитомец The War Within|r|n|cFF1eff00Питомец ""Пиратской бури""|r|n|nОткрывает питомца Веселюшу. Да'каш Мракочет может призвать его в ходе ""Пиратской бури"".|n|n""Он просто очень рад. Всегда. Без причины"".",1,1,1,10,250,3139,0,14400,0,0,439475,0,118654,0,0,0,0,0
Пузырек,"|cFF00ccffПитомец The War Within|r|n|cFF1eff00Питомец ""Пиратской бури""|r|n|nОткрывает питомца Пузырька. Да'каш Мракочет может призвать его в ходе ""Пиратской бури"".|n|n""Он за тобой увязался!""|n|n|cFFFFFFFFБонусный питомец: Пинчи|r|n|n|CFFa335eeПитомец Classic|r|n|nОткрывает питомца Пинчи Расхитителя в Cataclysm: Classic.|n|n""Берегись колючек!""",2,1,1,20,500,3139,0,0,0,0,439477,0,118078,0,0,0,0,0
Скалюкс,"|cFF00ccffПитомец The War Within|r|n|cFF1eff00Питомец ""Пиратской бури""|r|n|nОткрывает питомца Скалюкса. Да'каш Мракочет может призвать его в ходе ""Пиратской бури"".|n|n""Он тоже обожает грабить"".",3,1,1,30,1000,3139,0,14400,0,0,439478,0,118606,0,0,0,0,0
Клешнеблеск,"|cFF00ccffПитомец The War Within|r
|cFF1eff00Питомец ""Пиратской бури""|r

Открывает питомца Клешнеблеска. Да'каш Мракочет может призвать его в ходе ""Пиратской бури"".

""Хватать все, что блестит, – это весь его образ жизни"".",4,1,1,40,2000,3139,0,14400,4,0,0,0,124130,0,0,0,0,0
Серебряный бурунный конек,"|cFF00ccffТранспорт The War Within|r|n|nОткрывает подводный транспорт ""Серебряный бурунный конек"".|n|n""Пахнет креветками"".",5,1,2,10,1500,3139,0,14400,0,0,437516,0,92255,965,0,0,0,0
Синий морской попугай,"|cFF00ccffТранспорт The War Within|r|n|nОткрывает летающий транспорт ""Синий морской попугай"".|n|n""Награбив столько добра, грех не завести гигантского попугая"".",6,1,2,20,5000,3139,0,14400,0,0,437517,0,117981,80,0,0,0,0
Пернатый Роджер,"|cFF00ccffТранспорт The War Within|r|n|nОткрывает транспорт ""Пернатый Роджер"", для которого требуется навык полетов на драконе.|n|n""Капитан подарил тебе своего капризного гигантского попугая. Желаю удачи!""|n|n|cFFFFFFFFБонусный транспорт: пернатый Роджер|r|n|n|CFFa335eeТранспорт Classic|r|n|nОткрывает летающий транспорт ""Пернатый Роджер"" в Cataclysm: Classic.",7,1,2,30,5000,3139,0,0,0,0,437164,0,117262,80,0,0,0,0
Полуночный кроколиск владыки грабежа,"|cFF00ccffТранспорт The War Within|r|n|nОткрывает транспорт ""Полуночный кроколиск владыки грабежа"".|n|n""В комплект входит роскошное сиденье из качественной темной кожи"".",8,1,2,40,5000,3139,0,14400,4,0,0,0,121170,80,0,0,0,0
Парламентер,"|cFF00ccffПитомец The War Within|r|n|n|cFF1eff00Питомец ""Пиратской бури""|rОткрывает питомца Парламентера. Да'каш Мракочет может призвать его в ходе ""Пиратской бури"".|n|n""На самом деле вести переговоры он даже не пытается"".",9,1,1,50,2000,3139,0,14400,4,0,0,0,124174,0,0,0,0,0
Смертоносный кинжал,"|cFF00ccffОблик The War Within|r|n|cFF1eff00Облик ""Пиратской бури""|r|n|nОткрывает внешний вид оружия ""Смертоносный кинжал"". Изменять внешний вид предметов в ""Пиратской буре"" можно у Да'каша Мракочета.|n|n""Добро пожаловать в команду Бочконога, юнга! Держи кинжал и начинай грабить!""",10,1,4,10,250,3139,0,14400,1,0,439389,3468,0,0,0,0,0,0
