ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
5,"Рейд ""Вечный дворец""|n|cFFFFD200Материал:|r водный реликварий|n|cFFFFD200Источник:|r Великолепие Азшары, королевский суд или королева Азшара",,2,1,293019,294668,293019,294668
6,"Рейд ""Вечный дворец""|n|cFFFFD200Материал:|r водный реликварий|n|cFFFFD200Источник:|r Великолепие Азшары, королевский суд или королева Азшара",,2,2,294653,294687,298080,298082
7,"Рейд ""Вечный дворец""|n|cFFFFD200Материал:|r водный реликварий|n|cFFFFD200Источник:|r Великолепие Азшары, королевский суд или королева Азшара",,2,3,294650,294688,298081,298083
8,"Рейд ""Вечный дворец""|n|cFFFFD200Источник:|r королева Азшара (эпохальный режим)",,2,4,294655,294689,298081,298083
9,"Поля боя|n|cFFFFD200Задание:|r ""Вперед, на поле боя!""|n|cFFFFD200Задание принимает:|r маршал Габриэль|n|cFFFFD200Зона:|r док корпорации Эшвейнов, Боралус","Поля боя|n|cFFFFD200Задание:|r ""Вперед, на поле боя!""|n|cFFFFD200Задание принимает:|r Зандер Зильберман|n|cFFFFD200Зона:|r Мугамбала",3,1,293031,294910,293031,294910
10,"Поля боя|n|cFFFFD200Достижение:|r ""Боевое буйство""|n|cFFFFD200Торговец:|r маршал Габриэль|n|cFFFFD200Зона:|r док корпорации Эшвейнов, Боралус|n|cFFFFD200Цена:|r 25 почетных знаков","Поля боя|n|cFFFFD200Достижение:|r ""Боевое буйство""|n|cFFFFD200Торговец:|r Зандер Зильберман|n|cFFFFD200Зона:|r Мугамбала|n|cFFFFD200Цена:|r 25 почетных знаков",3,2,294906,294919,300009,300012
11,"Поля боя|n|cFFFFD200Достижение:|r ""Боевая тактика""|n|cFFFFD200Торговец:|r маршал Габриэль|n|cFFFFD200Зона:|r док корпорации Эшвейнов, Боралус|n|cFFFFD200Цена:|r 25 почетных знаков","Поля боя|n|cFFFFD200Достижение:|r ""Боевая тактика""|n|cFFFFD200Торговец:|r Зандер Зильберман|n|cFFFFD200Зона:|r Мугамбала|n|cFFFFD200Цена:|r 25 почетных знаков",3,3,294907,294920,300010,300013
12,"Поля боя|n|cFFFFD200Достижение:|r ""Боевое мастерство""|n|cFFFFD200Торговец:|r маршал Габриэль|n|cFFFFD200Зона:|r док корпорации Эшвейнов, Боралус","Поля боя|n|cFFFFD200Достижение:|r ""Боевое мастерство""|n|cFFFFD200Торговец:|r Зандер Зильберман|n|cFFFFD200Зона:|r Мугамбала",3,4,294908,294922,300010,300013
13,"Островные экспедиции|n|cFFFFD200Задание:|r ""Азерит для Альянса""|n|cFFFFD200Задание принимает:|r Флинн Фэйрвинд|n|cFFFFD200Зона:|r доки Боралуса|n","Островные экспедиции|n|cFFFFD200Задание:|r ""Азерит для Орды""|n|cFFFFD200Задание принимает:|r капитан Рез'окун|n|cFFFFD200Зона:|r порт Зандалара",4,1,295186,295078,295186,295078
14,"Островные экспедиции|n|cFFFFD200Материал:|r фрагменты карты потерянного сокровища Зем'лана|n|cFFFFD200Источник:|r островные экспедиции|n|cFFFFD200Командирский стол:|r ""Потерянное сокровище короля пиратов""|n|cFFFFD200Зона:|r доки Боралуса","Островные экспедиции|n|cFFFFD200Материал:|r фрагменты карты потерянного сокровища Зем'лана|n|cFFFFD200Источник:|r островные экспедиции|n|cFFFFD200Командирский стол:|r ""Потерянное сокровище короля пиратов""|n|cFFFFD200Зона:|r порт Зандалара",4,2,295209,295208,298628,298627
