ID,Name_lang,LocaleMask,Create_charsetMask,Existing_charsetMask,Flags,Order
1,Разработка,0,0,0,0,-127
2,США,0,1,1,0,0
3,Океания,0,1,1,0,0
4,Латинская Америка,0,1,1,0,0
5,Турнир,0,1,1,1,50
6,Корея,0,10,10,0,0
7,Турнир,0,10,10,1,50
8,Англ.,3277,1,1,0,0
9,Нем.,3277,1,1,0,0
10,Франц.,3277,1,1,0,0
11,Исп.,3277,1,1,0,0
12,Русский,256,4,4,0,0
13,Турнир,0,1,1,1,50
14,Тайвань,0,17,17,0,-127
15,Турнир,0,17,17,1,50
16,Китай,0,17,17,0,0
17,КТ1,0,17,17,0,0
18,КТ2,0,17,17,0,0
19,КТ3,0,17,17,0,0
20,КТ4,0,17,17,0,0
21,КТ5,0,17,17,0,0
22,КТ6,0,17,17,0,0
23,КТ7,0,17,17,0,0
24,КТ8,0,17,17,0,0
25,Турнир,0,17,17,1,50
26,Тестовый сервер,0,0,0,0,0
27,Турнир,0,0,0,1,50
28,Сервер контроля качества,0,0,0,0,0
29,КТ9,0,17,17,0,0
30,Test Server 2,0,0,0,0,0
31,CN10,0,17,17,0,0
32,CTC,0,17,17,0,0
33,CNC,0,17,17,0,0
34,CN1/4,0,17,17,0,0
35,CN2/6/9,0,17,17,0,0
36,CN3/7,0,17,17,0,0
37,CN5/8,0,17,17,0,0
38,Русскоязычный турнир,256,4,4,1,51
39,CN11,0,17,17,0,0
40,CN12,0,17,17,0,0
41,CN13,0,17,17,0,0
42,CN14,0,17,17,0,0
43,CN15,0,17,17,0,0
44,CN16,0,17,17,0,0
45,CN17,0,17,17,0,0
46,CN18,0,17,17,0,0
47,CN19,0,17,17,0,0
48,CN20,0,17,17,0,0
49,Бразилия,0,1,1,0,0
50,Итальянск.,3277,1,1,0,0
51,Hyrule,0,0,0,0,0
52,QA2 Test,0,0,0,0,0
55,Рекомендуемый игровой мир,0,17,17,0,0
56,Тест,0,1,1,0,80
58,Future Test,0,1,1,0,80
159,Региональное тестирование,0,0,0,0,80
160,Classic,0,0,0,0,0
161,Classic,0,0,0,0,0
162,США (запад),0,1,1,0,-50
163,США (восток),0,1,1,0,-49
164,Automation,0,0,0,0,0
165,Era Test,0,0,0,0,0
166,Classic Era,0,1,1,0,0
167,Classic Era,3277,1,1,0,0
168,Classic Era,0,10,10,0,0
169,Classic Era,0,17,17,0,0
170,Classic Era,0,17,17,0,0
171,Сезонные,0,1,1,0,-127
172,Сезонные,3277,1,1,0,-127
173,Сезонные,0,10,10,0,-127
174,Сезонные,0,17,17,0,-127
175,Сезонные,0,17,17,0,-127
179,Тестовая копия,0,17,17,0,-127
180,Глобальный,0,17,17,0,0
181,Серьезный,0,0,0,0,0
182,Сезонные,0,0,0,0,0
183,Internal Dev,0,0,0,2,0
184,Dev 3,0,1,1,2,0
185,PS,0,1,1,2,0
186,Бета,0,0,0,0,0
187,Тест NetEase,0,17,17,0,0
188,Возвращение в Нордскол,0,1,1,2,0
189,Развитие,0,1,1,0,0
190,Развитие,3277,1,1,0,0
191,Развитие,0,10,10,0,0
192,Развитие,0,17,17,0,0
193,Развитие,0,17,17,0,0
194,Годовщина,0,1,1,0,-127
195,Годовщина,0,10,10,0,-127
196,Годовщина,3277,1,1,0,-127
197,Годовщина,0,17,17,0,-127
198,Годовщина,0,17,17,0,-127
199,Classic Era,0,17,17,0,0
201,Classic Era,0,0,0,0,0
202,Годовщина,0,0,0,0,0
203,Активные,0,1,1,0,-50
204,Классические,0,1,1,0,-49
205,Активные,0,1,1,0,-50
206,Классические,0,1,1,0,-49
207,Преображенный титанами,0,17,17,0,0
