Name_lang,Filename,Name_male_lang,Name_female_lang,PetNameToken,Description_lang,RoleInfoString_lang,DisabledString_lang,Hyphenated_name_male_lang,Hyphenated_name_female_lang,CreateScreenFileDataID,SelectScreenFileDataID,IconFileDataID,LowResScreenFileDataID,Flags,StartingLevel,SpellTextureBlobFileDataID,ArmorTypeMask,Field_5_5_0_61411_018,Field_5_5_0_61411_019,Field_5_5_0_61411_020,Field_5_5_0_61411_021,Field_5_5_0_61411_022,Field_5_5_0_61411_023,Field_5_5_0_61411_024,Field_5_5_0_61411_025,Field_5_5_0_61411_026,CinematicSequenceID,DefaultSpec,ID,HasStrengthAttackBonus,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet,ClassColorR,ClassColorG,ClassColorB,RolesMask,DamageBonusStat,HasRelicSlot
Воин,WARRIOR,Воин,Воин,PET,"Воины – бойцы в латных доспехах, стремящиеся достичь совершенства во владении оружием. Сражаясь, воин накапливает ярость, которую затем расходует на применение способностей.",Роли: |cffffffffтанк или боец ближнего боя|r,Выберите другую расу для этого класса.,Воин,Воин,0,0,626008,0,169010,1,791568,113,20774,128667,132581,0,0,0,0,133297,15000,0,71,1,1,5,1,0,0,1,4,198,155,109,10,0,0
Паладин,PALADIN,Паладин,Паладин,PET,"Паладины – облаченные в тяжелую броню бойцы, которые с помощью силы Света лечат раненых и борются со злом. Паладин может в совершенстве овладеть двуручным оружием, щитом или искусством исцеления.","Роли: |cffffffffтанк, лекарь или боец ближнего боя|r",Выберите другую расу для этого класса.,Паладин,Паладин,0,0,626003,0,135226,1,791563,2289,20774,128833,132580,0,0,0,0,0,15000,0,70,2,1,4,0,0,0,1,10,244,140,186,14,0,1
Охотник,HUNTER,Охотник,Охотница,PET,"Дикая природа – родная стихия охотников, а животные для них – почти как братья. В бою они полагаются на оружие и помощь питомцев.",Роли: |cffffffffбоец дальнего или ближнего боя|r,Выберите другую расу для этого класса.,Охотник,Охотница,0,0,626000,0,33174,1,791560,41,20771,128903,132586,0,0,0,133832,133292,15000,0,253,3,1,2,2,1,1,0,9,170,211,114,8,1,0
Разбойник,ROGUE,Разбойник,Разбойница,PET,"Разбойники часто служат наемными убийцами и лазутчиками, хотя есть среди них и убежденные одиночки. Разбойник может пробраться незамеченным среди врагов и не гнушается подкрасться к жертве сзади, чтобы прикончить ее наверняка.",Роль: |cffffffffбоец ближнего боя|r,Выберите другую расу для этого класса.,Разбойник,Разбойница,0,0,626005,0,167938,1,791565,37,20776,129018,132578,0,0,0,133289,133293,15000,0,259,4,1,3,3,1,1,0,8,255,244,104,8,1,0
Жрец,PRIEST,Жрец,Жрица,PET,Жрецы – прекрасные лекари с широким набором разнообразных целительных заклинаний. В то же время жрец может пожертвовать своей ролью целителя и посвятить себя изучению темной магии.,Роли: |cffffffffлекарь или боец дальнего боя|r,Выберите другую расу для этого класса.,Жрец,Жрица,0,0,626004,0,2,1,791564,35,20775,129129,132579,0,0,0,134409,133296,15000,0,256,5,0,0,0,0,0,0,6,255,255,255,12,0,0
Рыцарь смерти,DEATHKNIGHT,Рыцарь смерти,Рыцарь смерти,PET,"Рыцари смерти принадлежат к героическому классу и начинают игру на высоком уровне. По сравнению с другими классами ближнего боя, у них больше способностей для воздействия на расстоянии: они могут насылать болезни и использовать темную магию.",Роли: |cffffffffтанк или боец ближнего боя|r,"Чтобы создать рыцаря смерти выбранной расы, требуется дополнение Shadowlands.",Рыцарь смерти,Рыцарь смерти,236082,236082,135771,1560617,189562,8,791558,3121,20769,128790,132590,0,0,0,131787,133291,20000,165,251,6,1,5,6,0,0,1,15,196,30,58,10,9,0
Шаман,SHAMAN,Шаман,Шаманка,PET,"Шаманы обращаются к духам стихий, усиливая свое оружие и заклинания. В бою шаман использует тотемы, которые лечат союзников, выводят из строя противников и наносят им урон.","Роли: |cffffffffлекарь, боец дальнего или ближнего боя|r",Выберите другую расу для этого класса.,Шаман,Шаманка,0,0,626006,0,294938,1,791566,2665,20777,128753,132575,0,0,0,0,0,25000,0,262,7,1,0,0,0,1,0,11,0,112,221,12,1,1
Маг,MAGE,Маг,Маг,PET,"Маги – канонические волшебники Азерота. Долгими годами прилежной учебы они приобретают свои знания. Маги носят легкие доспехи, компенсируя уязвимость целым арсеналом атакующих и защитных заклинаний.",Роль: |cffffffffбоец дальнего боя|r,Выберите другую расу для этого класса.,Маг,Маг,0,0,626001,0,4098,1,791561,35,20772,128789,132585,0,0,0,133322,133295,15000,0,62,8,0,0,0,0,0,0,3,63,199,235,8,0,0
Чернокнижник,WARLOCK,Чернокнижник,Чернокнижница,DEMON,"Чернокнижники пользуются магией огня и Тьмы, проклинают своих противников и вытягивают из них жизненные силы. Также они могут призывать демонов и управлять ими.",Роль: |cffffffffбоец дальнего боя|r,Выберите другую расу для этого класса.,Черно-|nкнижник,Черно-|nкнижница,0,0,626007,0,134,1,791567,35,20778,129054,132568,0,0,0,133661,133290,15000,0,265,9,0,0,0,0,0,0,5,135,136,238,8,0,0
Монах,MONK,Монах,Монахиня,PET,"Монахи известны своим мастерством ближнего боя – как рукопашного, так и с использованием оружия. Также они могут прибегать к целительной силе туманов, чтобы лечить союзников.","Роли: |cffffffffтанк, лекарь или боец ближнего боя|r",Требуется дополнение Mists of Pandaria,Монах,Монахиня,0,0,626002,0,165378,1,791562,37,20773,129344,132583,0,0,0,0,0,15000,0,268,10,1,2,3,0,1,0,53,0,255,152,14,0,0
Друид,DRUID,Друид,Друид,PET,"Друиды искусно меняют свой облик, принимая вид животных и растений. Они могут быть целителями, атаковать противника заклинаниями на расстоянии или, обернувшись кошкой или медведем, сражаться в ближнем бою.","Роли: |cffffffffтанк, лекарь, боец дальнего или ближнего боя|r",Выберите другую расу для этого класса.,Друид,Друид,0,0,625999,0,294922,1,791559,2341,20770,129374,132588,0,0,0,133404,133294,15000,0,102,11,0,0,0,0,1,0,7,255,124,10,14,0,1
