ID,Name_lang,Description_lang,CategoryID,InventoryIconFileID,SpellWeight,SpellCategory,MaxQty,MaxEarnablePerWeek,Quality,FactionID,ItemGroupSoundsID,XpQuestDifficulty,AwardConditionID,MaxQtyWorldStateID,RechargingAmountPerCycle,RechargingCycleDurationMS,WarbondTransferPercentage,Field_11_1_0_58221_017,Flags[0],Flags[1]
42,Знак справедливости,,1,135884,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,Даларанский знак ювелира,"В магазине Тиффани Картье, что в Даларане, вам с радостью обменяют эти знаки на уникальные ювелирные эскизы.",21,134138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,Награда гурмана,"Посетите торговцев кулинарными товарами в нордскольском Даларане и в других столицах, чтобы приобрести особые кулинарные рецепты, специи и даже головной убор!",1,134411,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,Эмблема героизма,,22,135947,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,Эмблема доблести,,22,237547,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,Очки арены,,2,135884,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121,Почетный знак Альтеракской долины,,2,133308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,Почетный знак низины Арати,,2,133282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,Почетный знак Ока Бури,,2,136032,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,Почетный знак берега Древних,,2,133276,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,Почетный знак ущелья Песни Войны,,2,134420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,Почетный знак озера Ледяных Оков,,2,133408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,Осколок каменного хранителя,,2,134375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
201,Монета Торговой компании,,2,133799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221,Эмблема завоевания,,22,135885,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,Печать чемпиона,"За храбрость, проявленную на турнирах Колизея Авангарда.",21,236246,0,0,0,0,1,0,0,0,0,0,0,0,100,0,2,0
301,Эмблема триумфа,,22,135979,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
321,Почетный знак острова Завоеваний,,2,133314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
341,Эмблема льда,,22,334365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
361,Жетон прославленного ювелира,Награда за проявленное мастерство в ювелирном деле. За эти жетоны можно приобрести уникальные эскизы и непревзойденный глаз химеры.,81,134501,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
384,Фрагмент артефакта дворфов,,82,441144,1,5,200,0,1,0,0,0,0,0,0,0,0,0,34,0
385,Фрагмент артефакта троллей,,82,441149,1,4,200,0,1,0,0,0,0,0,0,0,0,0,34,0
391,Рекомендательный значок Тол Барада,"За отвагу, проявленную на Тол Бараде.",2,409548,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
393,Фрагмент окаменелости,,82,442734,1,8,200,0,1,0,0,0,0,0,0,0,0,0,34,0
394,Фрагмент артефакта ночных эльфов,,82,441146,1,9,200,0,1,0,0,0,0,0,0,0,0,0,34,0
395,Очки справедливости,За эти очки можно покупать не очень мощное оружие и доспехи.,142,463446,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8280,0
396,Очки доблести,За эти очки можно покупать мощное оружие и доспехи для PvE-сражений.,142,463447,0,0,300099,100000,4,0,0,0,0,0,0,0,0,0,8264,0
397,Фрагмент артефакта орков,,82,442738,1,10,200,0,1,0,0,0,0,0,0,0,0,0,34,0
398,Фрагмент артефакта дренеев,,82,442731,1,11,200,0,1,0,0,0,0,0,0,0,0,0,34,0
399,Фрагмент артефакта врайкулов,,82,442742,1,12,200,0,1,0,0,0,0,0,0,0,0,0,34,0
400,Фрагмент нерубского артефакта,,82,442736,1,13,200,0,1,0,0,0,0,0,0,0,0,0,34,0
401,Фрагмент артефакта тол'виров,,82,442739,1,14,200,0,1,0,0,0,0,0,0,0,0,0,34,0
402,Жетон Железной Лапы,Знак признания со стороны поварской династии Железной Лапы. Жетон можно обменять на кулинарные товары у талантливого кулинара на рынке Полугорья.,1,134912,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
416,Знак Древа Жизни,Выдается Стражами Хиджала. Может использоваться для приобретения подкреплений во время Вторжения в Огненные Просторы.,81,513195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1026,0
483,Conquest Arena Meta,,89,463449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1484,0
484,Conquest Rated BG Meta,,89,463449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1484,0
515,Призовой купон ярмарки Новолуния,Выдается за победы в состязаниях ярмарки Новолуния или за помощь ее устроителям.,1,134481,0,0,0,0,1,0,0,0,0,0,0,0,100,0,2,0
614,Частица тьмы,Эта темная энергия может дать силу удивительным заклинаниям.,81,136192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1026,0
615,Порочная энергия Смертокрыла,"Эта темная энергия, вырванная у Смертокрыла, питает самые ужасные заклинания.",81,132851,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1026,0
676,Фрагмент артефакта пандаренов,,82,442742,1,39,200,0,1,0,0,0,0,0,0,0,0,0,34,0
677,Фрагмент артефакта могу,,82,442742,1,40,200,0,1,0,0,0,0,0,0,0,0,0,34,0
692,Conquest Random BG Meta,,89,463449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1484,0
697,Большой амулет удачи,"Счастливые обладатели большого амулета удачи могут испытать судьбу и получить шанс на дополнительную добычу за победу над рейдовыми боссами подземелий Могу'шан, Сердца Страха, террасы Вечной Весны, а также Ша Злости и отрядом Сальиса.",133,237281,0,0,20,0,1,0,0,0,0,0,0,0,0,0,2114,0
698,Жетон дзен-ювелира,Награда за проявленное мастерство в ювелирном деле. За эти жетоны можно приобрести уникальные эскизы и непревзойденный змеиный глаз.,133,442739,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
738,Малый амулет удачи,"Обладателей малых амулетов удачи ждет огромное счастье. Кроме того, со временем они смогут обменять амулеты на закаленные в бою печати, которые дают шанс на дополнительную добычу за победу над рейдовыми боссами.",133,237282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,0
752,Руна судьбы могу,"Счастливые обладатели руны судьбы могу могут испытать судьбу и получить шанс на дополнительную добычу за победу над рейдовыми боссами Престола Грома, Налаком или Ундастой.",133,646678,0,0,20,0,1,0,0,0,0,0,0,0,0,0,2,0
754,Фрагмент артефакта богомолов,,82,839407,1,44,200,0,1,0,0,0,0,0,0,0,0,0,34,0
776,Закаленная в бою печать,"Счастливые обладатели закаленной в бою печати могу могут испытать судьбу и получить шанс на дополнительную добычу во время осады Оргриммара, боев с Небожителями или сражения с Ордосом.",133,514015,0,0,20,0,1,0,0,0,0,0,0,0,0,0,2,0
777,Вневременная монета,"Вы чувствуете прикосновения призрачных пальцев предыдущих владельцев монеты, как будто ткань времени рвется. Вы можете использовать эту монету на Вневременном острове для получения ценных наград.",133,900319,0,0,0,0,1,0,0,0,0,0,0,0,100,0,66,0
789,Окровавленная монета,"Эту монету можно найти на еще теплых телах врагов, встретивших смерть в туманах Вневременного острова.",133,900318,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,0
810,Кусок Темного Железа,Утилизированное из поврежденного оружия и доспехов захватчиков Железной Орды.,133,135241,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,0
821,Фрагмент артефакта дренорских кланов,,82,970886,1,45,250,0,1,0,0,0,0,0,0,0,0,0,34,0
823,Апекситовый кристалл,"Апекситовые кристаллы, оставшиеся от давно угасшей древней цивилизации, заключают в себе практически неисчерпаемые резервы магической энергии.",137,1061300,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8194,0
824,Ресурсы гарнизона,"Добывайте ресурсы, чтобы отстраивать и расширять ваш гарнизон.",137,1005027,0,0,10000,0,1,0,0,0,0,0,0,0,0,0,2,0
828,Фрагмент артефакта огров,,82,136086,1,47,250,0,1,0,0,0,0,0,0,0,0,0,34,0
829,Фрагмент артефакта араккоа,,82,1002596,1,46,250,0,1,0,0,0,0,0,0,0,0,0,34,0
830,n/a,,82,0,1,48,200,0,1,0,0,0,0,0,0,0,0,0,34,0
897,UNUSED,,137,132780,0,0,100,0,1,0,0,0,0,0,0,0,0,0,8194,0
910,Тайны дренорской алхимии,Открывает доступ к новым рецептам для алхимиков в алхимической лаборатории.,137,4620669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
944,Фрагмент артефакта,"Крохотный фрагмент утраченного ашранского артефакта, высоко ценимый ограми клана Верховного Молота.",137,1061303,0,0,100000,0,1,0,0,0,0,0,0,0,0,0,8202,0
980,Тусклые железные монеты,"Возможно, они ценнее, чем кажутся на первый взгляд.",137,133792,0,0,2000000,0,3,0,0,0,0,0,0,0,0,0,8,0
994,Печать закаленной судьбы,Позволяет вмешиваться в естественный ход событий и предоставляет возможность получения дополнительных сокровищ в рейдах в землях клана Верховного Молота и литейной Черной горы.,137,838813,0,0,20,0,1,0,0,0,0,0,0,0,0,0,2,0
999,Тайны дренорского портняжного дела,Открывает доступ к новым рецептам для портных в швейной лавке.,137,4620681,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1008,Тайны дренорского ювелирного дела,Открывает доступ к новым рецептам для ювелиров.,137,4620677,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1017,Тайны дренорского кожевничества,Открывает доступ к новым рецептам для кожевников в дубильне.,137,4620678,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1020,Тайны дренорского кузнечного дела,Открывает доступ к новым рецептам для кузнецов.,137,4620670,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1101,Нефть,Нефть встречается главным образом в Танаанских джунглях и используется в заданиях для флота.,137,1131085,0,0,100000,0,1,0,0,0,0,0,0,0,0,0,66,0
1129,Печать неизбежной судьбы,Позволяет вмешиваться в естественный ход событий и предоставляет возможность получения дополнительных сокровищ в рейдах в цитадели Адского Пламени или эпохальных подземельях Дренора.,137,1119886,0,0,20,0,1,0,0,0,0,0,0,0,0,0,2,0
1149,Незрячий глаз,"Примитивная, вручную отчеканенная монета. На ней изображен символ, похожий на знак Кирин-Тора, но с одним отличием: глаз закрыт.",141,801132,0,0,5000,0,1,0,0,0,0,0,0,0,0,0,2,0
1154,Темные монеты,Ценятся карманниками и прочими им подобными. Можно потратить в Клоаке под Далараном.,141,646678,0,0,500,0,3,0,0,0,0,0,0,0,0,0,0,0
1155,Древняя мана,"Концентрированная магическая энергия древних силовых линий, пролегающих под Сурамаром.",141,1377394,0,0,300,0,1,0,0,0,0,0,0,0,0,0,2359298,0
1166,Искаженный временем знак,Получено в подземелье в режиме путешествия во времени. Можно предложить продавцам товаров для путешественников во времени в столицах.,22,463446,0,0,0,0,3,0,0,0,0,0,0,0,100,0,8194,0
1171,Знания об артефакте,Увеличивают скорость прироста силы артефакта.,142,237446,0,0,0,0,6,0,0,0,0,0,0,0,0,0,525376,0
1172,Фрагмент артефакта высокорожденных,,82,441146,1,51,200,0,1,0,0,0,0,0,0,0,0,0,34,0
1173,Фрагмент артефакта тауренов Крутогорья,,82,441146,1,52,200,0,1,0,0,0,0,0,0,0,0,0,34,0
1174,Фрагмент артефакта демонов,,82,441146,1,54,200,0,1,0,0,0,0,0,0,0,0,0,34,0
1191,Доблесть,"Усиливает предметы, полученные в эпохальных подземельях с ключом.",142,463447,0,0,0,0,4,0,0,0,108838,22980,0,0,0,0,2105794,1
1220,Ресурсы оплота класса,"Используются для вербовки отрядов, выполнения заданий и исследования улучшений оплота класса.",141,1397630,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134217730,0
1226,Осколок Пустоты,"Фрагмент кристаллизованной Пустоты, принесенный на Азерот Легионом.",141,132775,0,0,0,0,1,0,0,0,0,0,0,0,100,0,134217730,0
1268,Видавший виды артефакт,Загадочный артефакт наг из глубин Великого моря. Такие разыскивает король Мргл-Мргл на Древнем берегу.,141,1061303,0,0,100000,0,1,0,0,0,0,0,0,0,0,0,8202,0
1273,Печать сломанной судьбы,Позволяет вмешиваться в естественный ход событий и предоставляет возможность получения дополнительных сокровищ в рейдах дополнения Legion и при убийстве боссов подземелий в эпохальном режиме.,141,1604167,0,0,6,0,1,0,0,0,0,0,0,0,0,0,2,0
1275,Любопытная монета,Эта необычная монета – теплая на ощупь и слегка вибрирует в вашей руке. Такие принимает торговец Ксур'иос в Даларане.,141,1604168,0,0,0,0,4,0,0,0,0,0,0,0,100,0,2,0
1299,Бойцовское золото,Награда победителям арены бойцовской гильдии. Используйте этот предмет для приобретения карточек разборок и других влияющих на окружение предметов у торговца предметами за бойцовское золото.,143,237281,0,0,5000,0,1,0,0,0,0,0,0,0,0,0,2,0
1314,Фрагмент неупокоенной души,"Фрагмент души, некогда принадлежавший могучему противнику.",141,463284,0,0,40,20,3,0,0,0,0,0,0,0,0,0,2097218,0
1324,Киражский знак признания Орды,"Завершение этого задания пойдет в зачет Орде в рамках события ""Зов скарабея"".

Фракция, которая покажет сегодня лучший результат, сможет вывесить свои знамена у гонга Скарабея до конца года.",142,255132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1638400,0
1325,Киражский знак признания Альянса,"Завершение этого задания пойдет в зачет Альянсу в рамках события ""Зов скарабея"".

Фракция, которая покажет сегодня лучший результат, сможет вывесить свои знамена у гонга Скарабея до конца года.",142,255130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1638400,0
1342,Припасы Армии погибели Легиона,Используются для ускорения строительства важных сооружений на Расколотом берегу.,141,803763,0,0,1000,0,2,0,0,0,0,0,0,0,0,0,134217730,0
1347,Legionfall Building - Personal Tracker - Mage Tower (Hidden),,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68681728,0
1349,Legionfall Building - Personal Tracker - Command Tower (Hidden),,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68681728,0
1350,Legionfall Building - Personal Tracker - Nether Tower (Hidden),,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68681728,0
1355,Эссенция Скверны,"Концентрированная демоническая сущность, которая может быть изолирована и использована для изготовления мощных доспехов.",141,1044089,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1356,Отголоски битвы,Можно потратить на мощные доспехи для PvP-сражений. В конце сезона конвертируются в золото.,141,1455891,0,0,0,0,4,0,0,0,0,0,0,0,0,0,384,0
