Name_lang,ID,UiTextureAtlasElementID,DecorCategoryID,OrderIndex
Места для сидения,1,29176,1,0
Кровати,2,29113,1,3
Двери,3,29125,2,0
Стены и колонны,4,29203,2,1
Столы и письменные столы,5,29191,1,1
Склады,6,29185,1,2
Различная меблировка,7,30799,1,4
Окна,8,29206,2,2
Крупные объекты,9,29155,2,3
Структурные элементы,10,30799,2,4
Украшения,11,29164,3,0
Настенные предметы,12,29197,3,1
Еда и напитки,13,29131,3,2
Пол,14,29128,3,3
Различные детали,15,30799,3,4
Большие источники света,16,29152,4,0
Настенные источники света,17,29200,4,1
Потолочные источники света,18,29140,4,2
Небольшие источники света,19,29182,4,3
Окружающее освещение,20,29110,4,4
Различное освещение,21,30799,4,5
Полезные вещи,22,29194,5,0
Крупная листва,25,29149,6,0
Мелкая листва,26,29179,6,1
Кусты,27,29116,6,2
Ковровые растения,28,29137,6,3
Различные элементы природы,29,30799,6,4
Разное – все,34,30799,8,0
Комнаты – все,35,0,9,0
Различные практичные,51,30799,5,1
