ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
2,Рыцарь смерти - Кровь,Рыцарь смерти - Кровь,Рыцарь смерти - Кровь,3487,6,0,0
3,Рыцарь смерти - Лед,Рыцарь смерти - Лед,Рыцарь смерти - Лед,3487,7,0,0
4,Рыцарь смерти - Нечестивость,Рыцарь смерти - Нечестивость,Рыцарь смерти - Нечестивость,3487,8,0,0
5,Друид - Баланс,Друид - Баланс,Друид - Баланс,3485,9,0,0
7,Друид - Сила зверя,Друид - Сила зверя,Друид - Сила зверя,3485,10,0,0
8,Друид - Страж,Друид - Страж,Друид - Страж,3485,11,0,0
9,Друид - Исцеление,Друид - Исцеление,Друид - Исцеление,3485,12,0,0
10,Охотник - Повелитель зверей,Охотник - Повелитель зверей,Охотница - Повелительница зверей,3477,13,0,0
12,Охотник - Стрельба,Охотник - Стрельба,Охотница - Стрельба,3477,14,0,0
13,Охотник - Выживание,Охотник - Выживание,Охотница - Выживание,3477,15,0,0
14,Маг - Тайная магия,Маг - Тайная магия,Маг - Тайная магия,3482,16,0,0
15,Маг - Огонь,Маг - Огонь,Маг - Огонь,3482,17,0,0
16,Маг - Лед,Маг - Лед,Маг - Лед,3482,18,0,0
17,Монах - Хмелевар,Монах - Хмелевар,Монахиня - Хмелевар,3480,19,0,0
18,Монах - Ткач туманов,Монах - Ткач туманов,Монахиня - Ткач туманов,3480,20,0,0
19,Монах - Танцующий с ветром,Монах - Танцующий с ветром,Монахиня - Танцующая с ветром,3480,21,0,0
20,Паладин - Свет,Паладин - Свет,Паладин - Свет,3486,22,0,0
21,Паладин - Защита,Паладин - Защита,Паладин - Защита,3486,23,0,0
22,Паладин - Воздаяние,Паладин - Воздаяние,Паладин - Воздаяние,3486,24,0,0
23,Жрец - Послушание,Жрец - Послушание,Жрица - Послушание,3479,25,0,0
24,Жрец - Свет,Жрец - Свет,Жрица - Свет,3479,26,0,0
25,Жрец - Тьма,Жрец - Тьма,Жрица - Тьма,3479,27,0,0
26,Разбойник - Ликвидация,Разбойник - Ликвидация,Разбойница - Ликвидация,3481,28,0,0
27,Разбойник - Бой,Разбойник - Бой,Разбойница - Бой,3481,29,0,0
28,Разбойник - Скрытность,Разбойник - Скрытность,Разбойница - Скрытность,3481,30,0,0
29,Шаман - Стихии,Шаман - Стихии,Шаманка - Стихии,3484,31,0,0
30,Шаман - Совершенствование,Шаман - Совершенствование,Шаманка - Совершенствование,3484,32,0,0
31,Шаман - Исцеление,Шаман - Исцеление,Шаманка - Исцеление,3484,33,0,0
32,Чернокнижник - Колдовство,Чернокнижник - Колдовство,Чернокнижница - Колдовство,3483,34,0,0
33,Чернокнижник - Демонология,Чернокнижник - Демонология,Чернокнижница - Демонология,3483,35,0,0
34,Чернокнижник - Разрушение,Чернокнижник - Разрушение,Чернокнижница - Разрушение,3483,36,0,0
35,Воин - Оружие,Воин - Оружие,Воин - Оружие,3478,37,0,0
37,Воин - Неистовство,Воин - Неистовство,Воин - Неистовство,3478,38,0,0
38,Воин - Защита,Воин - Защита,Воин - Защита,3478,39,0,0
53,Транспорт,Транспорт,Транспорт,4597,0,0,0
54,Эсминец,Эсминец,Эсминец,4620,0,0,0
55,Авианосец,Авианосец,Авианосец,4838,0,0,0
56,Линкор,Линкор,Линкор,4601,0,0,0
57,Подводная лодка,Подводная лодка,Подводная лодка,4609,0,0,0
58,Транспорт,Транспорт,Транспорт,4597,0,0,0
59,Эсминец,Эсминец,Эсминец,4568,0,0,0
60,Авианосец,Авианосец,Авианосец,4842,0,0,0
61,Линкор,Линкор,Линкор,4601,0,0,0
62,Подводная лодка,Подводная лодка,Подводная лодка,4605,0,0,0
63,Охотник на демонов - Истребление,Охотник на демонов - Истребление,Охотница на демонов - Истребление,5939,0,0,0
64,Охотник на демонов - Месть,Охотник на демонов – Месть,Охотница на демонов - Месть,5940,0,0,0
65,Ученики школы Журавля,Ученик школы Журавля,Ученица школы Журавля,3480,0,4,3
66,Ученики школы Тигра,Ученик школы Тигра,Ученица школы Тигра,3480,0,2,3
67,Ученики школы Быка,Ученик школы Быка,Ученица школы Быка,3480,0,3,3
68,Монах - Хмелевар,Монах - Хмелевар,Монахиня - Хмелевар,5951,0,0,0
69,Монах - Ткач туманов,Монах - Ткач туманов,Монахиня - Ткач туманов,5952,0,0,0
70,Монах - Танцующий с ветром,Монах - Танцующий с ветром,Монахиня - Танцующая с ветром,5953,0,0,0
72,Чародеи,Чародеи,Чародеи,3482,0,2,3
73,Элементали,Элементали,Элементали,3482,0,3,3
74,Mage C Troop,Mage C Troop,,3482,0,4,3
75,Орда живых мертвецов,Орда живых мертвецов,Орда живых мертвецов,3487,0,3,3
76,Солдаты Черного Клинка,Солдаты Черного Клинка,Солдаты Черного Клинка,3487,0,2,3
77,Поганище,Поганище,Поганище,3487,0,1,3
79,Сломленные,Сломленные,Сломленные,5940,0,3,3
80,Воины иллидари,Воины иллидари,Воины иллидари,5940,0,2,3
81,Друзья лесов,Друзья лесов,Друзья лесов,3485,0,3,3
82,Стражи рощи,Стражи рощи,Стражи рощи,3485,0,2,3
84,Hunter C Troop,Hunter C Troop,,3477,0,4,3
85,Лесники,Лесники,Лесники,3477,0,2,3
86,Лучники,Лучники,Лучники,3477,0,3,3
87,Новобранцы ордена,Новобранцы ордена,Новобранцы ордена,3486,0,3,3
88,Офицеры ордена,Офицеры ордена,Офицеры ордена,3486,0,2,3
89,Paladin C Troop,Paladin C Troop,,3486,0,4,3
90,Priest C Troop,Priest C Troop,,3479,0,4,3
91,Послушники,Послушники,Послушники,3479,0,3,3
92,Ревнители,Ревнители,Ревнители,3479,0,2,3
93,Разбойники,Разбойники,Разбойники,3481,0,3,3
94,Буканьеры,Буканьеры,Буканьеры,3481,0,2,3
95,Rogue C Troop,Rogue C Troop,,3481,0,4,3
96,Древо войны,Древо войны,Древо войны,3485,0,1,3
97,Элементали,Элементали,Элементали,3484,0,3,3
98,Заклинатели земли,Заклинатели земли,Заклинатели земли,3484,0,2,3
99,Валарьяры,Валарьяры,Валарьяры,3478,0,3,3
100,Девы щита,Девы щита,Девы щита,3478,0,2,3
101,Warrior C Troop,Warrior C Troop,,3478,0,4,3
102,Демоническая орда,Демоническая орда,Демоническая орда,3483,0,3,3
103,Слуги Совета Мрачной Жатвы,Слуги Совета Мрачной Жатвы,Слуги Совета Мрачной Жатвы,3483,0,2,3
104,Страж Скверны,Страж Скверны,Страж Скверны,3483,0,1,3
105,Небожитель,Небожитель,Небожительница,3480,0,1,3
108,Рыцарь смерти - Кровь,Рыцарь смерти - Кровь,Рыцарь смерти - Кровь,5936,6,0,0
109,Рыцарь смерти - Лед,Рыцарь смерти - Лед,Рыцарь смерти - Лед,5937,7,0,0
110,Рыцарь смерти - Нечестивость,Рыцарь смерти - Нечестивость,Рыцарь смерти - Нечестивость,5938,8,0,0
111,Друид - Баланс,Друид - Баланс,Друид - Баланс,5941,0,0,0
