ID,Name_lang,GarrClassSpecID,PlayerConditionID,IconFileDataID,FlavorGarrStringID,OrderIndex
9,Стая бесов,102,42846,1396680,47,0
10,Стая диких бесов,102,40902,1396698,48,1
11,Послушники Совета,103,41214,1396691,49,0
16,Заклинатели Совета,103,41213,1452660,50,1
17,Ученики Стражей Тирисфаля,72,41574,1396696,20,0
18,Заклинатели Кирин-Тора,72,41575,1396699,21,1
19,Элементали воды,73,42839,1396675,18,0
20,Чародейские големы,73,41573,1401852,19,1
21,Послушники школы Быка,67,42840,1396688,22,0
22,Адепты школы Быка,67,40092,1396705,23,1
23,Послушники школы Тигра,66,40012,1396706,25,0
24,Адепты школы Тигра,66,40138,1396707,26,1
25,Малые элементали,97,42847,1396645,40,0
26,Большие элементали,97,41422,1396658,41,1
27,Круг заклинателей земли,98,40260,1396708,42,0
28,Геоманты Служителей Земли,98,41421,1401884,43,1
29,Перерожденные,139,41525,1396660,44,0
30,Отряд лучников,86,42842,1401885,14,0
31,Незримые стрелки,86,41557,1401886,15,1
32,Артель звероловов,85,41559,1401887,16,0
33,Землепроходцы,85,41560,1401888,17,1
34,Древни Рощи Снов,81,42843,1396694,10,0
35,Дочери Кенария,81,41580,1396686,11,1
36,Друиды-медведи,82,41581,1396668,12,0
37,Хранители рощи,82,41582,1396684,13,1
38,Отряд оруженосцев,87,42841,1396701,28,0
39,Фаланга щитоносцев,87,41588,1396702,29,1
40,Рыцари ордена Серебряной Длани,88,41589,1396703,30,0
41,Храмовники из ордена Серебряной Длани,88,41590,1396704,31,1
42,Валарьяры-претенденты,99,42845,1401869,51,0
43,Закаленные бурей валарьяры,99,41592,1401871,52,1
44,Боевой отряд дев щита,100,41593,1401854,53,0
45,Валькиры – девы щита,100,41594,1401874,54,1
46,Пеплоусты-воины,79,42844,1401873,6,0
47,Наги-мирмидоны,79,41635,1401889,7,1
48,Адепты иллидари,80,41636,1401865,8,0
49,Превращенные адепты иллидари,80,41637,1401883,9,1
50,Стая вурдалаков,75,42837,1401858,2,0
51,Стая упырей,75,42838,1401859,3,1
52,Рыцари Черного Клинка,76,41676,1401866,4,0
53,Опустошители Черного Клинка,76,41677,1401855,5,1
54,Шайка бандитов,93,42848,1401891,36,0
55,Воры из братства Справедливости,93,41707,1401892,37,1
56,Некоронованные-дуэлянты,94,41705,1401893,38,0
57,Команда пиратов,94,41704,1401894,39,1
58,Небожители,105,40060,1401861,59,0
59,Группа послушников,91,42849,1086381,32,0
60,Идеалы света Пустоты,91,41906,1066217,33,1
61,Дружина ревнителей,92,41907,1066169,34,0
62,Темные ревнители,92,41908,1066121,35,1
63,Древо войны,96,42818,1452563,58,0
64,Поганище,77,43780,1401851,0,0
65,Громила из клана Змеиных Колец,144,47107,1551349,0,0
66,Воины из племени Зловещего Тотема,145,47112,1551342,80,0
67,Стражи Кирин-Тора,147,48413,1604890,68,0
68,Ледяные рыцари Черного Клинка,148,48417,1605028,64,0
69,Бойцы ударного подразделения,149,49177,1605040,75,0
70,Хранители Рощи Снов,150,48415,1589538,66,0
71,Шиварра,151,48416,1589536,65,0
72,Защитники Служителей Земли,152,48408,1589546,73,0
73,Мастера безмятежности,153,48412,1605031,69,0
74,Громилы Скверны,154,48407,1589549,74,0
75,Прячущие лицо жрецы,155,48410,1589544,71,0
76,Воители ордена Серебряной Длани,156,48411,1605020,70,0
77,Убийцы из поместья Черного Ворона,157,48409,1605036,72,0
78,Ночнорожденные-охотники,158,48414,1551348,67,0
80,Ударное подразделение,149,49178,1605021,75,1
81,Крокул - горный охотник,160,50765,1712229,77,0
82,Очищенный от Бездны крокул,161,51511,1712228,78,0
83,Солдат Армии Света,162,51512,1694048,76,0
