ID,BaseTag,TagText_lang,Flags
9597,BUG_BUTTON,Ошибки и предложения,1
9598,CHARACTER_BUTTON,Информация о персонаже,1
9599,MAINMENU_BUTTON,Главное меню,3
9600,QUESTLOG_BUTTON,Журнал заданий,1
9601,SPELLBOOK_BUTTON,Способности,1
9602,BACKPACK_TOOLTIP,Рюкзак,5
9603,INVENTORY_TOOLTIP,Предметы,5
9605,MELEE_ATTACK,Атака в ближнем бою,1
9606,ATTACK_SPEED_SECONDS,Скорость атаки (сек.),1
9607,UNSPENT_TALENT_POINTS,Очки талантов: %s,1
9610,DAMAGE_BONUS_TOOLTIP,Увеличивает урон от оружия,1
9613,EXPERIENCE_COLON,Опыт:,1
9614,GUILD_TEMPLATE,%s из %s,1
9615,HEALTH_COLON,Здоровье:,1
9616,INTELLECT_COLON,Интеллект:,1
9617,DEFENSE_TOOLTIP,Защита,1
9618,MAGIC_RESISTANCES_COLON,Сопротивление магии:,1
9619,MANA_COLON,Мана:,1
9620,MODIFIERS_COLON,Модификаторы:,1
9621,PLAYER_LEVEL,|c%2$s%4$s (%3$s)|r %1$s-го уровня,1
9622,PROFICIENCIES_COLON,Уровни мастерства:,1
9623,SPIRIT_COLON,Дух:,1
9625,REPUTATION,Репутация,5
9626,RESISTANCE0_NAME,к броне,1
9627,RESISTANCE1_NAME,Сопротивление светлой магии,5
9628,RESISTANCE2_NAME,Сопротивление огню,5
9629,RESISTANCE3_NAME,Сопротивление силам природы,5
9630,RESISTANCE4_NAME,Сопротивление магии льда,5
9633,STRENGTH_COLON,Сила:,1
9634,TITLE_TEMPLATE,%s (%s),1
9635,CONTAINER_SLOTS,%2$s (%1$d |4ячейка:ячейки:ячеек;),1
9636,EQUIP_CONTAINER,Поместите сюда сумку,1
9637,HEADSLOT,Голова,1
9638,NECKSLOT,Шея,1
9639,SHOULDERSLOT,Плечи,1
9640,BACKSLOT,Спина,1
9641,SHIRTSLOT,Рубашка,1
9642,CHESTSLOT,Грудь,1
9643,WAISTSLOT,Пояс,1
9644,LEGSSLOT,Ноги,1
9645,FEETSLOT,Ступни,1
9646,WRISTSLOT,Запястья,1
9647,HANDSSLOT,Кисти рук,1
9648,FINGER1SLOT,Палец,1
9649,TRINKET0SLOT,Аксессуар,1
9650,TRINKET1SLOT,Аксессуар,1
9651,MAINHANDSLOT,Правая рука,1
9652,SECONDARYHANDSLOT,Левая рука,1
9653,RANGEDSLOT,Оружие дальнего боя,1
9654,BAGSLOT,Сумка,1
9655,INVTYPE_HEAD,Голова,5
9656,INVTYPE_NECK,Шея,5
9657,INVTYPE_BODY,Рубашка,5
9658,INVTYPE_CHEST,Грудь,5
9659,INVTYPE_LEGS,Ноги,5
9660,INVTYPE_FEET,Ступни,5
9661,INVTYPE_WRIST,Запястья,5
9662,INVTYPE_HAND,Кисти рук,5
9663,INVTYPE_FINGER,Палец,5
9664,INVTYPE_WEAPON,Одноручное,5
9665,INVTYPE_WEAPONOFFHAND,Левая рука,5
9666,INVTYPE_SHIELD,Левая рука,5
9667,INVTYPE_RANGED,Дальний бой,5
9668,INVTYPE_CLOAK,Спина,5
9669,INVTYPE_2HWEAPON,Двуручное,5
9670,INVTYPE_BAG,Сумка,5
9671,INVTYPE_HOLDABLE,Левая рука,5
9672,BANK_BAG,Ячейка для сумки,1
9673,ITEMSLOTTEXT,Ячейки для предметов,1
9674,BAGSLOTTEXT,Ячейки для сумок,1
9675,BANKSLOTPURCHASE_LABEL,Вы хотите приобрести место для еще одной сумки?,1
9676,BANKSLOTPURCHASE,Приобрести,1
9677,ADD_FRIEND,Добавить в друзья,3
9678,ADD_IGNORE_LABEL,"Введите имя игрока, которого вы хотите игнорировать, \nили\nщелкните мышью при нажатом Shift по его имени в окне чата:",1
9679,REMOVE_FRIEND,Удалить,3
9680,GROUP_INVITE,Пригласить,3
9681,SEND_MESSAGE,Сообщение,3
9682,FRIENDS,Друзья,3
9683,FRIENDS_LIST,Список друзей,3
9684,IGNORE,Черный список,3
9685,IGNORE_PLAYER,Добавить,3
9686,GROUPS,Группы,1
9687,WHO,Кто,1
9688,FRIENDS_LIST_TEMPLATE,|cffffffff- %s|r %s,3
9689,FRIENDS_LEVEL_TEMPLATE,|3-6(%2$s) %1$d-го уровня,3
9690,ITEM_BIND_ON_EQUIP,Становится персональным при надевании,5
9691,ITEM_BIND_ON_USE,Становится персональным при использовании,5
9692,ITEM_BIND_QUEST,Требуется для задания,5
9693,ITEM_CLASSES_ALLOWED,Классы: %s,5
9694,ITEM_COOLDOWN_TIME_MIN,Времени до готовности: %d мин.,1
9695,ITEM_LEVEL,Уровень предмета: %d,5
9696,ITEM_MIN_SKILL,Требуется: %s (%d),1
9697,ITEM_MOD_MANA,%c%s к мане,1
