ID,Name_lang
1,Test Exclusive Category
4,Антимагический панцирь
5,Ледяные оковы
6,Дубовая кожа
7,Облик кошки
8,Затмение
9,Ловкий оборотень
10,Походный облик
11,Замораживающая ловушка
12,Ледяная ловушка
13,Антимагия
14,Ледяная глыба
15,Неистовые кулаки
16,Кувырок
17,Освящение
18,Длань свободы
19,Правосудие
20,Слияние с Тьмой
21,Оберегающий дух
22,Духовное рвение
23,Дух воздаяния
24,Уход в тень
25,Ускользание
26,Исчезновение
27,Дух дикого зверя
28,Призрачный волк
29,Тотем заземления
30,Щит молний
31,Ярость шамана
32,Благосклонность предков
33,Жизнеотвод
34,Твердая решимость
35,Удар героя
36,Бой насмерть
37,Героический прыжок
38,Яростный выпад
39,Глухая оборона
40,Воскрешение мертвых
41,Элементаль воды
42,Вид превращения
43,Гнев карателя
44,Взрыв разума
45,Камуфляж
46,Отрыв
47,Лечение питомца
48,Сдерживание
49,Дух стаи
50,Скачок
51,Устранение вреда
52,Заживляющий туман
53,Торжество
54,Щит мстителя
55,Гнев небес
56,Шок небес
57,Молитва восстановления
58,Слово силы: Щит
59,Колодец Света
60,Массовое рассеивание
61,Заживление ран
62,Развеивание магии
63,Рывок
64,Зуботычина
65,Победный раж
66,Вихрь
67,Дикий рев
68,Детоксикация
69,Воскрешение питомца
70,Вскипание лавы
71,Облик лунного совуха
72,Волшебный огонь
73,Экзорцизм
74,Боевой крик
75,Темный следопыт
76,Гарпун
77,Ужасный зверь
78,Метка охотника
79,Сигнальный огонь
80,Льдистый путь
81,Ходячий дух
82,Сглаз
83,Страж Скверны
84,Сверкающая нефритовая молния
85,Расколотые души
86,Облик Бездны
87,Скольжение
88,Облик Тьмы
89,Хватка смерти
90,Призыв суккуба
91,Осколки души
92,Исчадие Тьмы
93,Божественный скакун
94,Водный облик
95,Облик птицы
195,Призыв сайаада
197,Волшебный фамилиар
