ID,FullName_lang,ShortName_lang,GroupFinderCategoryID,OrderIndex,GroupFinderActivityGrpID,Flags,MinGearLevelSuggestion,PlayerConditionID,MapID,DifficultyID,AreaID,MaxPlayers,DisplayType,Field_11_0_7_57361_013,Field_11_0_7_57361_014,Field_11_0_7_57361_015,Field_11_0_7_57361_016,OverrideContentTuningID,MapChallengeModeID
2,Тельдрассил,Тельдрассил,1,0,3,258,0,0,1,0,141,0,4,0,0,0,0,0,0
3,Западный край,Западный край,1,0,2,258,0,0,0,0,40,0,4,0,0,0,0,0,0
4,Осада Оргриммара (обычный режим),Обычный,3,0,1,35,0,0,1136,14,0,30,0,0,0,0,0,0,0
6,Арена (2 на 2),2 на 2,4,0,0,36,0,78463,0,0,0,2,2,0,0,0,0,0,0
7,Арена (3 на 3),3 на 3,4,1,0,36,0,78463,0,0,0,3,2,0,0,0,0,0,0
9,Огненные Недра,Огненные Недра,3,-1,0,34,0,0,409,9,0,40,0,0,0,0,0,0,0
14,Стычка на арене (2 на 2),2 на 2,7,0,0,36,0,86427,0,0,0,2,2,0,0,0,0,0,0
15,Поля боя,Поля боя,8,0,0,36,0,86429,0,0,0,5,1,0,0,0,0,0,0
16,Режим PvE,Другое,6,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
17,PvP,PvP,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Мертвые копи (обычный режим),Обычный,2,0,5,98,0,0,36,1,0,5,1,0,0,0,0,0,0
19,Рейтинговые поля боя,Рейтинговые поля боя,9,0,0,36,0,78463,0,0,0,0,0,0,0,0,0,0,0
21,Шлаковые шахты Кровавого Молота (обычный режим),Обычный,2,1,6,99,0,0,1175,1,0,5,1,0,0,0,0,0,0
22,Железные доки (обычный режим),Обычный,2,1,7,99,50,87337,1195,1,0,5,1,0,0,0,0,0,0
23,Аукиндон (обычный режим),Обычный,2,1,8,99,0,0,1182,1,0,5,1,0,0,0,0,0,0
24,Небесный Путь (обычный режим),Обычный,2,1,9,99,0,0,1209,1,0,5,1,0,0,0,0,0,0
25,Депо Мрачных Путей (обычный режим),Обычный,2,1,10,99,0,87337,1208,1,0,5,1,0,0,0,0,0,0
26,Вечное Цветение (обычный режим),Обычный,2,1,11,99,0,0,1279,1,0,5,1,0,0,0,0,0,0
27,Некрополь Призрачной Луны (обычный режим),Обычный,2,1,12,99,0,0,1176,1,0,5,1,0,0,0,0,0,0
28,Верхняя часть пика Черной горы (обычный режим),Обычный,2,1,13,99,0,0,1358,1,0,5,1,0,0,0,0,0,0
29,Шлаковые шахты Кровавого Молота (героический режим),Героический,2,2,6,99,0,0,1175,2,0,5,1,0,0,0,0,0,0
30,Железные доки (героический режим),Героический,2,2,7,99,50,87337,1195,2,0,5,1,0,0,0,0,0,0
31,Аукиндон (героический режим),Героический,2,2,8,99,0,0,1182,2,0,5,1,0,0,0,0,0,0
32,Небесный Путь (героический режим),Героический,2,2,9,99,0,0,1209,2,0,5,1,0,0,0,0,0,0
33,Депо Мрачных Путей (героический режим),Героический,2,2,10,99,0,87337,1208,2,0,5,1,0,0,0,0,0,0
34,Вечное Цветение (героический режим),Героический,2,2,11,99,0,0,1279,2,0,5,1,0,0,0,0,0,0
35,Некрополь Призрачной Луны (героический режим),Героический,2,2,12,99,0,0,1176,2,0,5,1,0,0,0,0,0,0
36,Верхняя часть пика Черной горы (героический режим),Героический,2,2,13,99,0,0,1358,2,0,5,1,0,0,0,0,0,0
37,Нападение на клан Верховного Молота (обычный режим),Обычный,3,0,14,35,0,27290,1228,14,0,30,0,0,0,0,0,0,0
38,Нападение на клан Верховного Молота (героический режим),Героический,3,0,14,35,0,27291,1228,15,0,30,0,0,0,0,0,0,0
39,Литейная клана Черной горы (обычный режим),Обычный,3,0,15,35,0,27806,1205,14,0,30,0,0,0,0,0,0,0
40,Литейная клана Черной горы (героический режим),Героический,3,0,15,35,0,27807,1205,15,0,30,0,0,0,0,0,0,0
41,Осада Оргриммара (героический режим),Героический,3,0,1,35,0,0,1136,15,0,30,0,0,0,0,0,0,0
42,Осада Оргриммара (эпохальный режим),Эпохальный,3,0,1,35,0,0,1136,16,0,20,0,0,0,0,0,0,0
43,Наксрамас (10 игроков),10 игроков,3,0,16,35,0,0,533,3,0,10,0,0,0,0,0,0,0
44,Наксрамас (25 игроков),25 игроков,3,0,16,35,0,0,533,4,0,25,0,0,0,0,0,0,0
45,Каражан,Каражан,3,0,0,35,0,0,532,3,0,10,0,0,0,0,0,0,0
46,"Цитадель Ледяной Короны (обычн., 10 игроков)","10, обычн.",3,0,17,547,0,0,631,3,0,10,0,0,0,0,0,0,0
47,"Цитадель Ледяной Короны (героич., 10 игроков)","10, героич.",3,0,17,547,0,0,631,5,0,10,0,0,0,0,0,0,0
48,"Цитадель Ледяной Короны (обычн., 25 игроков)","25, обычн.",3,0,17,547,0,0,631,4,0,25,0,0,0,0,0,0,0
49,"Цитадель Ледяной Короны (героич., 25 игроков)","25, героич.",3,0,17,547,0,0,631,6,0,25,0,0,0,0,0,0,0
50,Пещеры Стенаний (обычный режим),Пещеры Стенаний,2,0,0,98,0,0,43,1,0,5,1,0,0,0,0,0,0
51,Некроситет (обычный режим),Обычный,2,0,18,98,0,0,1007,1,0,5,1,0,0,0,0,0,0
52,Огненная Пропасть (обычный режим),Огненная Пропасть,2,0,0,98,0,0,389,1,0,5,1,0,0,0,0,0,0
53,Крепость Темного Клыка (обычный режим),Обычный,2,0,19,98,0,0,33,1,0,5,1,0,0,0,0,0,0
54,Непроглядная Пучина (обычный режим),Непроглядная Пучина,2,0,0,98,0,0,48,1,0,5,1,0,0,0,0,0,0
55,Тюрьма Штормграда (обычный режим),Тюрьма Штормграда,2,0,0,98,0,0,34,1,0,5,1,0,0,0,0,0,0
56,Гномреган (обычный режим),Гномреган,2,0,0,98,0,0,90,1,0,5,1,0,0,0,0,0,0
57,Лабиринты Иглошкурых (обычный режим),Лабиринты Иглошкурых,2,0,0,98,0,0,47,1,0,5,1,0,0,0,0,0,0
58,Курганы Иглошкурых (обычный режим),Курганы Иглошкурых,2,0,0,98,0,0,129,1,0,5,1,0,0,0,0,0,0
59,Ульдаман (обычный режим),Ульдаман,2,0,0,98,0,0,70,1,0,5,1,0,0,0,0,0,0
60,Зул'Фаррак (обычный режим),Зул'Фаррак,2,0,0,98,0,0,209,1,0,5,1,0,0,0,0,0,0
61,Мародон (обычный режим),Мародон,2,0,0,98,0,0,349,1,0,5,1,0,0,0,0,0,0
62,Затонувший храм (обычный режим),Затонувший храм,2,0,0,98,0,0,109,1,0,5,1,0,0,0,0,0,0
63,Глубины Черной горы (обычный режим),Глубины Черной горы,2,0,0,98,0,0,230,1,0,5,1,0,0,0,0,0,0
64,Нижняя часть пика Черной горы (обычный режим),Нижняя часть пика Черной горы,2,0,0,98,0,0,229,1,0,5,1,0,0,0,0,0,0
65,Забытый город (обычный режим),Забытый город,2,0,0,98,0,0,429,1,0,5,1,0,0,0,0,0,0
66,Стратхольм (обычный режим),Стратхольм,2,0,0,98,0,0,329,1,0,5,1,0,0,0,0,0,0
67,Бастионы Адского Пламени (обычный режим),Обычный,2,0,20,98,0,0,543,1,0,5,1,0,0,0,0,0,0
68,Кузня Крови (обычный режим),Обычный,2,0,21,98,0,0,542,1,0,5,1,0,0,0,0,0,0
69,Разрушенные залы (обычный режим),Обычный,2,0,22,98,0,0,540,1,0,5,1,0,0,0,0,0,0
70,Узилище (обычный режим),Обычный,2,0,23,98,0,0,547,1,0,5,1,0,0,0,0,0,0
71,Нижетопь (обычный режим),Обычный,2,0,24,98,0,0,546,1,0,5,1,0,0,0,0,0,0
72,Паровое подземелье (обычный режим),Обычный,2,0,25,98,0,0,545,1,0,5,1,0,0,0,0,0,0
73,Гробницы маны (обычный режим),Обычный,2,0,26,98,0,0,557,1,0,5,1,0,0,0,0,0,0
74,Аукенайские гробницы (обычный режим),Обычный,2,0,27,98,0,0,558,1,0,5,1,0,0,0,0,0,0
75,Сетеккские залы (обычный режим),Обычный,2,0,28,98,0,0,556,1,0,5,1,0,0,0,0,0,0
76,Темный лабиринт (обычный режим),Обычный,2,0,29,98,0,0,555,1,0,5,1,0,0,0,0,0,0
77,Залы Алого ордена (обычный режим),Обычный,2,0,30,98,0,0,1001,1,0,5,1,0,0,0,0,0,0
78,Монастырь Алого ордена (обычный режим),Обычный,2,0,31,98,0,0,1004,1,0,5,1,0,0,0,0,0,0
79,Побег из Дарнхольда (обычный режим),Обычный,2,0,32,98,0,0,560,1,0,5,1,0,0,0,0,0,0
80,Открытие Темного портала (обычный режим),Обычный,2,0,33,98,0,0,269,1,0,5,1,0,0,0,0,0,0
81,Механар (обычный режим),Обычный,2,0,34,98,0,0,554,1,0,5,1,0,0,0,0,0,0
82,Ботаника (обычный режим),Обычный,2,0,35,98,0,0,553,1,0,5,1,0,0,0,0,0,0
83,Аркатрац (обычный режим),Обычный,2,0,36,98,0,0,552,1,0,5,1,0,0,0,0,0,0
84,Аукенайские гробницы (героический режим),Героический,2,0,27,98,0,0,558,2,0,5,1,0,0,0,0,0,0
85,Гробницы маны (героический режим),Героический,2,0,26,98,0,0,557,2,0,5,1,0,0,0,0,0,0
86,Сетеккские залы (героический режим),Героический,2,0,28,98,0,0,556,2,0,5,1,0,0,0,0,0,0
87,Темный лабиринт (героический режим),Героический,2,0,29,98,0,0,555,2,0,5,1,0,0,0,0,0,0
88,Открытие Темного портала (героический режим),Героический,2,0,33,98,0,0,269,2,0,5,1,0,0,0,0,0,0
89,Побег из Дарнхольда (героический режим),Героический,2,0,32,98,0,0,560,2,0,5,1,0,0,0,0,0,0
90,Узилище (героический режим),Героический,2,0,23,98,0,0,547,2,0,5,1,0,0,0,0,0,0
91,Паровое подземелье (героический режим),Героический,2,0,25,98,0,0,545,2,0,5,1,0,0,0,0,0,0
92,Нижетопь (героический режим),Героический,2,0,24,98,0,0,546,2,0,5,1,0,0,0,0,0,0
93,Кузня Крови (героический режим),Героический,2,0,21,98,0,0,542,2,0,5,1,0,0,0,0,0,0
94,Бастионы Адского Пламени (героический режим),Героический,2,0,20,98,0,0,543,2,0,5,1,0,0,0,0,0,0
95,Разрушенные залы (героический режим),Героический,2,0,22,98,0,0,540,2,0,5,1,0,0,0,0,0,0
96,Аркатрац (героический режим),Героический,2,0,36,98,0,0,552,2,0,5,1,0,0,0,0,0,0
97,Ботаника (героический режим),Героический,2,0,35,98,0,0,553,2,0,5,1,0,0,0,0,0,0
98,Механар (героический режим),Героический,2,0,34,98,0,0,554,2,0,5,1,0,0,0,0,0,0
99,Терраса Магистров (обычный режим),Обычный,2,0,37,98,0,0,585,1,0,5,1,0,0,0,0,0,0
100,Терраса Магистров (героический режим),Героический,2,0,37,98,0,0,585,2,0,5,1,0,0,0,0,0,0
101,Крепость Утгард (обычный режим),Обычный,2,0,38,98,0,0,574,1,0,5,1,0,0,0,0,0,0
102,Вершина Утгард (обычный режим),Обычный,2,0,39,98,0,0,575,1,0,5,1,0,0,0,0,0,0
103,Азжол-Неруб (обычный режим),Обычный,2,0,40,98,0,0,601,1,0,5,1,0,0,0,0,0,0
104,Окулус (обычный режим),Обычный,2,0,41,98,0,0,578,1,0,5,1,0,0,0,0,0,0
105,Чертоги Молний (обычный режим),Обычный,2,0,42,98,0,0,602,1,0,5,1,0,0,0,0,0,0
106,Чертоги Камня (обычный режим),Обычный,2,0,43,98,0,0,599,1,0,5,1,0,0,0,0,0,0
107,Очищение Стратхольма (обычный режим),Обычный,2,0,44,98,0,0,595,1,0,5,1,0,0,0,0,0,0
108,Крепость Драк'Тарон (обычный режим),Обычный,2,0,45,98,0,0,600,1,0,5,1,0,0,0,0,0,0
109,Гундрак (обычный режим),Обычный,2,0,46,98,0,0,604,1,0,5,1,0,0,0,0,0,0
110,Ан'кахет: Старое Королевство (обычный режим),Обычный,2,0,47,98,0,0,619,1,0,5,1,0,0,0,0,0,0
111,Аметистовая крепость (обычный режим),Обычный,2,0,48,98,0,0,608,1,0,5,1,0,0,0,0,0,0
112,Нексус (обычный режим),Обычный,2,0,49,98,0,0,576,1,0,5,1,0,0,0,0,0,0
113,Испытание чемпиона (обычный режим),Обычный,2,0,50,610,0,0,650,1,0,5,1,0,0,0,0,0,0
114,Кузня Душ (обычный режим),Обычный,2,0,51,98,0,0,632,1,0,5,1,0,0,0,0,0,0
115,Яма Сарона (обычный режим),Обычный,2,0,52,98,0,0,658,1,0,5,1,0,0,0,0,0,0
116,Залы Отражений (обычный режим),Обычный,2,0,53,98,0,0,668,1,0,5,1,0,0,0,0,0,0
117,Вершина Утгард (героический режим),Героический,2,0,39,98,0,0,575,2,0,5,1,0,0,0,0,0,0
118,Очищение Стратхольма (героический режим),Героический,2,0,44,98,0,0,595,2,0,5,1,0,0,0,0,0,0
119,Окулус (героический режим),Героический,2,0,41,98,0,0,578,2,0,5,1,0,0,0,0,0,0
120,Чертоги Молний (героический режим),Героический,2,0,42,98,0,0,602,2,0,5,1,0,0,0,0,0,0
121,Чертоги Камня (героический режим),Героический,2,0,43,98,0,0,599,2,0,5,1,0,0,0,0,0,0
122,Крепость Драк'Тарон (героический режим),Героический,2,0,45,98,0,0,600,2,0,5,1,0,0,0,0,0,0
123,Гундрак (героический режим),Героический,2,0,46,98,0,0,604,2,0,5,1,0,0,0,0,0,0
124,Ан'кахет: Старое Королевство (героический режим),Героический,2,0,47,98,0,0,619,2,0,5,1,0,0,0,0,0,0
125,Аметистовая крепость (героический режим),Героический,2,0,48,98,0,0,608,2,0,5,1,0,0,0,0,0,0
126,Нексус (героический режим),Героический,2,0,49,98,0,0,576,2,0,5,1,0,0,0,0,0,0
127,Азжол-Неруб (героический режим),Героический,2,0,40,98,0,0,601,2,0,5,1,0,0,0,0,0,0
128,Крепость Утгард (героический режим),Героический,2,0,38,98,0,0,574,2,0,5,1,0,0,0,0,0,0
129,Испытание чемпиона (героический режим),Героический,2,0,50,610,0,0,650,2,0,5,1,0,0,0,0,0,0
130,Кузня Душ (героический режим),Героический,2,0,51,98,0,0,632,2,0,5,1,0,0,0,0,0,0
131,Яма Сарона (героический режим),Героический,2,0,52,98,0,0,658,2,0,5,1,0,0,0,0,0,0
