ID,Name_lang,OrderIndex
1,Осада Оргриммара,1
2,Восточные королевства,0
3,Калимдор,0
5,Мертвые копи,0
6,Шлаковые шахты Кровавого Молота,0
7,Железные доки,0
8,Аукиндон,0
9,Небесный Путь,0
10,Депо Мрачных Путей,1
11,Вечное Цветение,0
12,Некрополь Призрачной Луны,10
13,Верхняя часть пика Черной горы,0
14,Верховный Молот,0
15,Литейная клана Черной горы,0
16,Наксрамас,0
17,Цитадель Ледяной Короны,0
18,Некроситет,0
19,Крепость Темного Клыка,0
20,Бастионы Адского Пламени,0
21,Кузня Крови,0
22,Разрушенные залы,0
23,Узилище,0
24,Нижетопь,0
25,Паровое подземелье,0
26,Гробницы маны,0
27,Аукенайские гробницы,0
28,Сетеккские залы,0
29,Темный лабиринт,0
30,Залы Алого ордена,0
31,Монастырь Алого ордена,0
32,Побег из Дарнхольда,0
33,Открытие Темного портала,0
34,Механар,0
35,Ботаника,0
36,Аркатрац,0
37,Терраса Магистров,0
38,Крепость Утгард,0
39,Вершина Утгард,0
40,Азжол-Неруб,0
41,Окулус,0
42,Чертоги Молний,0
43,Чертоги Камня,0
44,Очищение Стратхольма,0
45,Крепость Драк'Тарон,0
46,Гундрак,0
47,Ан'кахет: Старое Королевство,0
48,Аметистовая крепость,0
49,Нексус,0
50,Испытание чемпиона,0
51,Кузня Душ,0
52,Яма Сарона,0
53,Залы Отражений,0
54,Трон Приливов,0
55,Пещеры Черной горы,0
56,Грим Батол,0
57,Чертоги Созидания,0
58,Каменные Недра,0
59,Вершина Смерча,0
60,Затерянный город Тол'вир,0
61,Храм Нефритовой Змеи,10
62,Хмелеварня Буйных Портеров,0
63,Монастырь Шадо-Пан,0
64,Дворец Могу'шан,0
65,Осада храма Нюцзао,0
66,Врата Заходящего Солнца,0
67,Вечное Цветение,0
68,Дренор,0
69,Запределье,0
70,Нордскол,0
71,Пандария,0
73,Испытание крестоносца,0
74,Рубиновое святилище,0
75,Твердыня Крыла Тьмы,0
76,Сумеречный бастион,0
77,Трон Четырех Ветров,0
78,Огненные Просторы,0
79,Душа Дракона,0
80,Подземелья Могу'шан,5
81,Сердце Страха,4
82,Терраса Вечной Весны,3
83,Престол Гроз,2
84,Случайное подземелье Mists of Pandaria,0
86,Падение Терамора,0
102,Хмельная буря,0
103,Битва в открытом море,0
104,Кровь на снегу,0
105,Гробница Забытых Королей,0
106,Темное сердце Пандарии,0
107,Случайный сценарий Mists of Pandaria,0
108,Секреты Огненной Пропасти,0
109,Случайное подземелье Дренора,0
110,Цитадель Адского Пламени,0
111,Случайное подземелье Legion,0
112,Око Азшары,9
113,Чаща Темного Сердца,12
114,Чертоги Доблести,10
115,Логово Нелтариона,10
116,Штурм Аметистовой крепости,40
117,Казематы Стражей,13
118,Крепость Черной Ладьи,17
119,Утроба Душ,40
120,Квартал Звезд,10
121,Катакомбы Сурамара,40
122,Изумрудный Кошмар,40
123,Цитадель Ночи,3
124,Расколотые острова,0
125,Возвращение в Каражан,41
126,Испытание доблести,2
127,Нижняя часть Каражана,5
128,Верхняя часть Каражана,6
129,Собор Вечной Ночи,41
130,Разлом Зловещего Шрама,0
131,Гробница Саргераса,4
132,"Анторус, Пылающий Трон",5
133,Престол Триумвирата,41
134,Аргус,0
135,Ульдир,0
136,Случайное подземелье Battle for Azeroth,0
137,Атал'Дазар,30
138,Подгнилье,10
139,Храм Сетралисс,30
140,ЗОЛОТАЯ ЖИЛА!!!,30
141,Гробница королей,30
142,Вольная Гавань,10
143,Святилище Штормов,30
144,Тол Дагор,30
145,Усадьба Уэйкрестов,30
146,Осада Боралуса,30
247,Кул-Тирас,0
248,Зандалар,0
249,Островные экспедиции,0
251,Битва за Дазар'алор,0
252,Горнило Штормов,0
253,"Операция ""Мехагон""",30
254,Вечный дворец,0
255,Битва за Стромгард,0
256,"Операция ""Мехагон"" – свалка",30
257,"Операция ""Мехагон"" – мастерская",30
258,"Ни'алота, Пробуждающийся Город",0
259,Чумные каскады,20
260,Та Сторона,20
261,Чертоги Покаяния,20
262,Туманы Тирна Скитта,20
263,Кровавые катакомбы,20
264,Шпили Перерождения,20
265,Смертельная тризна,20
266,Театр Боли,20
267,Замок Нафрия,0
269,Боссы вне подземелья,0
270,Темные Земли,0
271,Святилище Господства,0
272,Тайный рынок Тазавеш,20
273,Извилистые коридоры,0
274,Чертоги Скольда,1
275,Верхний ярус,1
276,Кузни душ,0
277,Морт'регар,0
278,Костоломни,0
279,Междумирье Бессердечных,0
