Name_lang,ID,Field_12_0_0_63967_001,Flags,Field_12_0_0_63724_002,RoomWmoDataID,UiTextureAtlasElementID,WeightCost,ItemID,SortPriority
Маленькая квадратная комната,1,1,4,0,5,31139,5,0,120
Коридор,2,1,4,0,7,31132,3,0,150
Шкаф,3,1,4,0,4,31130,1,0,145
T-образная комната,6,1,4,0,162,31143,3,0,320
Крошечная квадратная комната,7,1,4,0,3,31140,2,0,110
L-образная комната,8,1,4,0,163,31133,3,0,310
Средняя восьмиугольная комната,9,1,4,0,165,31135,8,0,220
Лестничная клетка (по часовой),10,1,6,0,8,31142,7,0,420
Средняя квадратная комната,11,1,0,0,160,31138,12,0,130
Большая квадратная комната,12,1,0,0,6,31137,20,0,140
Комната в форме креста,13,1,4,0,161,31131,4,0,330
Маленькая восьмиугольная комната,14,1,4,0,164,31136,4,0,210
Большая восьмиугольная комната,15,1,0,0,166,31134,16,0,230
Базовая планировка (сред.),18,1,5,0,172,0,0,0,0
Вход,46,1,5,0,177,0,0,0,0
Пустая комната с лестницей,48,1,6,0,179,31144,6,0,430
Лестничная клетка (против часовой),50,1,6,0,180,31141,7,0,410
Оргриммарский зал советов,132,3,8,0,202,35463,20,274673,840
Оргриммарская каменная комната,151,3,8,0,219,35465,5,274675,820
Дневная круглая комната,223,3,8,0,233,32639,8,272045,710
Вечерняя круглая комната,233,3,8,0,255,32640,8,0,720
Штормградская оружейная,273,3,8,0,305,35471,12,272997,930
Штормградская кухня,277,3,8,0,326,35474,5,274667,920
Штормградский выставочный зал,281,3,8,0,328,35472,5,274666,910
Штормградский великий чертог,282,3,8,0,336,35473,20,274665,940
Луносветская оружейная,283,3,8,0,337,35467,12,274663,1030
Луносветский помпезный кабинет,285,3,8,0,345,35469,20,274664,1040
Луносветский выставочный зал,286,3,8,0,346,35468,5,274661,1010
Бел'аметская часовня,287,3,8,0,347,35461,20,274670,1140
Бел'аметский зал встреч,288,3,8,0,348,35460,12,274668,1130
Бел'аметский театр,289,3,8,0,349,35462,5,274669,1120
Бел'аметская укромная спальня,290,3,8,0,350,35459,5,274671,1110
Оргриммарский театр,292,3,8,0,352,35466,12,274674,830
Оргриммарский выставочный зал,294,3,8,0,353,35464,5,274676,810
Луносветский небольшой кабинет,307,3,8,0,371,35470,5,274662,1020
Осенний сарай Западного края,400,3,8,0,378,36094,18,276243,750
Весенний сарай Западного края,401,3,8,0,379,33641,18,276244,760
