Money,Title_lang,Description_lang,ID,DecorID,DecorQuantity,Field_12_0_0_63534_006,Favor,RewardQuestID
50,tiger test reward [DNT],,1,0,0,0,0,0
0,Этап 1,Доступ к новым предметам у торговцев предприятий,2,0,0,0,0,0
0,Этап 2,Доступ к новым предметам у торговцев предприятий,3,0,0,0,0,0
0,Этап 3,Доступ к новым предметам у торговцев предприятий,4,0,0,0,0,0
0,Награда за предприятие,,5,0,0,0,0,93262
0,Награда за предприятие,,21,0,0,0,0,93262
0,Награда за предприятие,,22,0,0,0,0,93262
0,Награда за предприятие,,23,0,0,0,0,93262
0,Награда за предприятие,,24,0,0,0,0,93262
0,Награда за предприятие,,25,0,0,0,0,93262
0,Награда за предприятие,,26,0,0,0,0,93262
0,Награда за предприятие,,27,0,0,0,0,93262
0,Награда за предприятие,,28,0,0,0,0,93262
0,Награда за предприятие,,29,0,0,0,0,93262
