ID,Display_lang,OverallQualityID,ExpansionID,MinFactionID,MinReputation,AllowableClass,RequiredLevel,RequiredSkill,RequiredSkillRank,RequiredAbility,ItemLevel,Flags[0],Flags[1],Flags[2],Flags[3],Flags[4],AllowableRaces[0],AllowableRaces[1]
25,Иссеченный короткий меч,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
35,Гнутый посох,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
36,Иссеченная палица,1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
37,Старый топор,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
38,Рубашка рекрута,2,0,0,0,-1,0,0,0,0,1,36864,8192,8388608,0,0,-1,-1
39,Штаны рекрута,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
40,Сапоги рекрута,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
43,Сапоги оруженосца,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
44,Штаны оруженосца,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
45,Рубашка оруженосца,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
47,Ботинки разбойника с большой дороги,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
48,Штаны разбойника с большой дороги,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
49,Рубашка разбойника с большой дороги,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
51,Сапоги неофита,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
52,Штаны неофита,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
53,Рубашка неофита,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
55,Сапоги ученика,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
56,Одеяние ученика,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
57,Одеяние послушника,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
59,Ботинки послушника,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
60,Многослойный мундир,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
61,Дворфийские кожаные штаны,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
79,Дворфийские матерчатые брюки,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
80,Отделанные мехом мягкие ботинки,1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
85,Грязный кожаный жилет,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
120,Штаны головореза,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
121,Сапоги головореза,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
127,Рубашка зверолова,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
129,Рваные сапоги зверолова,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
139,Штаны буяна,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
140,Сапоги буяна,1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
147,Рваные штаны зверолова,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
148,Рваная рубашка зверолова,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
153,Примитивный килт,1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
154,Простая мантия,2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
193,Потрепанный матерчатый жилет,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
194,Потрепанные матерчатые штаны,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
195,Потрепанные матерчатые сапоги,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
200,Утолщенный матерчатый жилет,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
201,Утолщенные матерчатые штаны,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
202,Утолщенные матерчатые ботинки,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
203,Утолщенные матерчатые перчатки,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
209,Грязные кожаные штаны,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
210,Грязные кожаные сапоги,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
236,Доспех из обработанной кожи,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
237,Штаны из обработанной кожи,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
238,Сапоги из обработанной кожи,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
239,Перчатки из обработанной кожи,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
285,Малый чешуйчатый панцирь,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
286,Чешуйчатые штаны,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
287,Чешуйчатые сапоги,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
647,Судьба,4,0,0,0,-1,22,0,0,0,28,0,8192,0,0,0,-1,-1
710,Наручи народного ополчения,1,0,0,0,-1,0,0,0,0,7,0,8192,8388608,0,0,-1,-1
711,Потрепанные матерчатые перчатки,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
714,Грязные кожаные перчатки,1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
718,Чешуйчатые перчатки,1,0,0,0,-1,8,0,0,0,14,0,8192,0,0,0,-1,-1
719,Перчатки охотника на кроликов,1,0,0,0,-1,0,0,0,0,1,0,8192,8388608,0,0,-1,-1
720,Перчатки буяна,3,0,0,0,-1,11,0,0,0,18,0,8192,0,0,0,-1,-1
727,Зубчатый короткий меч,2,0,0,0,-1,3,0,0,0,5,0,8192,0,0,0,-1,-1
753,Короткий меч клана Драконьей Пасти,2,0,0,0,-1,11,0,0,0,18,0,8192,0,0,0,-1,-1
754,Короткий меч отмщения,3,0,0,0,-1,18,0,0,0,25,0,8192,0,0,0,-1,-1
756,Туннельная кирка,2,0,0,0,-1,11,0,0,0,18,0,8192,0,0,0,-1,-1
763,Покрытые льдом наручи,1,0,0,0,-1,3,0,0,0,6,0,8192,0,0,0,-1,-1
766,Ребристая палица,1,0,0,0,-1,2,0,0,0,3,0,8192,0,0,0,-1,-1
767,Длинный посох Бо,1,0,0,0,-1,2,0,0,0,4,0,8192,0,0,0,-1,-1
768,Топор дровосека,1,0,0,0,-1,2,0,0,0,4,0,8192,0,0,0,-1,-1
776,Вендетта,3,0,0,0,-1,13,0,0,0,20,524288,8192,0,0,0,-1,-1
