Name_lang,Description_lang,ID,JournalEncounterID,CreatureDisplayInfoID,FileDataID,OrderIndex,UiModelSceneID
Глубток,,358,89,37410,522228,0,9
Хеликс Отломчикс,,359,90,33002,522234,0,9
Врагорез-5000,,360,91,35606,522225,0,9
Адмирал Терзающий Рев,,361,92,35739,522189,0,9
"""Капитан"" Пирожок",,362,93,1305,522210,0,9
Ванесса ван Клиф,,365,95,32806,522278,0,9
Барон Эшбери,,366,96,34610,522205,0,9
Барон Сильверлейн,,367,97,37288,522206,0,9
Командир Спрингвейл,,368,98,37287,522213,0,9
Лорд Вальден,,369,99,34612,522249,0,9
Лорд Годфри,,370,100,34611,522247,0,9
Леди Наз'жар,,371,101,34342,522245,0,9
Командир Улток,,372,102,84332,522214,0,9
Подчиняющий разум Гур'ша,,373,103,32259,522253,0,9
Озумат,,374,104,34135,522259,0,9
Ром'огг Костекрушитель,,375,105,33147,522266,0,9
Глашатай сумрака Корла,,376,106,31546,522216,0,9
Карш Гнущий Сталь,,377,107,31710,522244,0,9
Красавица,,378,108,34433,522207,0,9
Повелитель Перерожденных Обсидий,,379,109,36465,522201,0,9
Корбор,,380,110,33477,522215,0,9
Камнешкур,,381,111,36476,522271,0,9
Озрук,,382,112,36475,522258,0,9
Верховная жрица Азил,,383,113,26448,522237,0,9
Великий визирь Эртан,,384,114,35181,522229,0,9
Альтаирий,,385,115,34265,522192,0,9
Асаад,,386,116,35388,522200,0,9
Генерал Хусам,,387,117,34743,523205,0,9
Ауг,,388,118,37339,522203,1,9
Зубохлоп,,389,118,33438,522246,0,9
Верховный пророк Барим,,390,119,34744,522239,0,9
Сиамат,,394,122,35388,522269,0,9
Храмовый страж Ануур,,424,124,35067,522272,0,9
Пта Ярость Земли,,425,125,31450,522219,0,9
Анрафет,,426,126,34580,522195,0,65
Изисет,,427,127,33465,522241,0,66
Аммунаэ,,428,128,32943,522194,0,66
Сетеш,,429,129,33055,522267,0,66
Радж,,430,130,33177,522262,0,66
Генерал Умбрисс,,431,131,31498,522227,0,9
Начальник кузни Тронг,,432,132,33429,522226,0,66
Драгх Горячий Мрак,,433,133,31792,522218,0,9
Валиона,,434,133,31795,522276,1,9
Эрудакс,,435,134,33428,522222,0,9
Аргалот,,463,139,35426,522198,0,9
Оку'тар,,464,140,37876,523207,0,9
Незир,Повелитель северного ветра,555,154,35232,522256,1,9
Аншал,Повелитель западного ветра,556,154,35233,522196,0,9
Рохаш,Повелитель восточного ветра,557,154,35234,522265,2,9
Ал'акир,,558,155,35248,522191,0,9
Халфий Змеерез,,559,156,34816,522232,0,66
Валиона,,560,157,34812,522277,1,9
Тералион,,561,157,34813,522274,0,9
Террастра,Перерожденный советник земли,562,158,34824,522273,3,9
Элементиевое чудовище,Сплетение Перерожденных,563,158,34825,522221,4,9
Огнис,Перерожденный советник пламени,564,158,34821,522240,1,9
Акварион,Перерожденный советник воды,565,158,34822,522224,0,9
Аэрон,Перерожденный советник воздуха,566,158,34823,522199,2,9
Чо'Галл,,587,167,34576,522212,0,9
Синестра,,588,168,34335,522270,0,9
Электрон,,589,169,32688,522220,2,9
Токситрон,,590,169,32684,522275,3,9
Магматрон,,591,169,32685,522250,0,9
Чаротрон,,592,169,32687,522197,1,9
Магмарь,,593,170,37993,522251,0,9
Атрамед,,594,171,34547,522202,0,9
Химерон,,595,172,33308,522211,0,9
Малориак,,596,173,33186,522252,0,9
Ониксия,,599,174,32569,522257,1,9
Нефариан,,600,174,32716,522255,0,9
Верховный жрец Веноксис,,601,175,37788,522236,0,9
Мандокир Повелитель Крови,,602,176,37816,522209,0,9
Гри'лек,,603,177,8390,522230,0,9
Хазза'рах,,604,178,37832,522233,0,9
Ренатаки,,605,179,37830,522263,0,9
Вушулай,,606,180,37831,522279,0,9
Верховная жрица Килнара,,607,181,37805,522238,0,9
Занзил,,616,184,37813,522280,0,9
Джин'до Низвергатель Богов,,617,185,37789,522243,0,9
Акил'зон,,618,186,21630,522190,0,9
Налоракк,,619,187,21631,522254,0,9
Джан'алай,,620,188,21633,522242,0,9
Халаззи,,621,189,21632,522231,0,9
Повелитель проклятий Малакрасс,,622,190,22332,522235,0,9
Даакара,,623,191,38118,522217,0,9
Бет'тилак,,624,192,38227,522208,0,9
Повелитель Риолит,,625,193,38414,522248,0,9
Алисразор,,626,194,38446,522193,0,9
Шэннокс,,627,195,38448,522268,0,9
Мажордом Фэндрал Олений Шлем,,628,197,37953,522223,0,9
Рагнарос,,629,198,37875,522261,0,280
Болванчик,,630,90,33003,523206,1,9
Бейлрок,,770,196,38621,522204,0,9
Эхо Тиранды,,817,283,39617,571749,0,9
Дорнозму,Владыка Бесконечности,827,289,38931,536059,0,9
Смертокрыл,,855,318,35268,536056,0,9
Хагара Владычица Штормов,,856,317,39318,536057,0,9
Аркурион,,862,322,35978,571743,0,9
Эхо Сильваны,,864,323,38655,571748,0,9
Королева Азшара,,865,291,39391,571747,0,9
Полководец Зон'озз,,867,324,39138,536061,0,9
Ультраксион,,875,331,39099,571750,0,9
Йор'садж Неспящий,,876,325,39101,536062,0,9
Воевода Черный Рог,,877,332,39399,571752,0,9
Морхок,,881,311,39094,536058,0,9
Перот'арн,,895,290,39182,536060,0,9
Ализабаль,,896,339,21252,571742,0,9
Архиепископ Бенедикт,,899,341,38991,536053,0,9
Эхо Бейна,,900,340,38791,571744,0,9
Эхо Джайны,,903,285,38802,571745,0,9
Азира Убийца Зари,,904,342,38995,536054,0,9
Смертокрыл,,905,333,40087,536055,0,9
Маннорот,,913,292,38996,571746,0,9
Капитан Варо'тен,,914,292,39127,571746,1,9
Верховный дознаватель Герштан,,942,369,8761,607644,0,9
Лорд Роккор,,943,370,5781,607697,0,9
Псарь Гребмар,,944,371,9212,607647,0,9
Пиромант Зерно Мудрости,,945,373,8762,607749,0,9
Лорд Опалитель,,946,374,1204,607694,0,63
Тюремщик Стилгисс,,947,375,9089,607814,0,9
Финий Темнострой,,948,376,8704,607602,0,9
Бейл'Гор,,949,377,12162,607549,0,9
Генерал Кузня Гнева,,950,378,8756,607610,0,9
Повелитель големов Аргелмах,,951,379,8759,607618,0,9
Харли Чернопых,,952,380,8658,607650,0,9
Фаланг,,953,381,8177,607740,0,9
Штоппор Наливалс,,955,383,8652,607741,0,9
Посол Огнехлыст,,956,384,8329,607535,0,9
Магмус,,957,386,12162,607705,0,9
Император Дагран Тауриссан,,958,387,8807,607595,0,9
Вождь Омокк,,959,388,11565,607645,0,9
Темная охотница Вос'гаджин,,960,389,9732,607769,0,9
Воевода Вун,,961,390,28281,607810,0,9
Мать Дымная Паутина,,962,391,36506,607719,0,9
Аррок Смертный Вопль,,963,392,11583,607801,0,9
