Name_lang,ID,MapID,Flags,ExpansionLevel,Field_9_1_5_39977_005,CriteriaCount[0],CriteriaCount[1],CriteriaCount[2]
Храм Нефритовой Змеи,2,960,2,4,0,1800,1440,1080
Хмелеварня Буйных Портеров,56,961,2,0,0,2700,1260,720
Врата Заходящего Солнца,57,962,2,0,0,2700,1320,780
Монастырь Шадо-Пан,58,959,2,0,0,3600,2100,1260
Осада храма Нюцзао,59,1011,2,0,0,3000,1800,1050
Дворец Могу'шан,60,994,2,0,0,2700,1440,720
Некроситет,76,1007,2,0,0,3300,1980,1140
Залы Алого ордена,77,1001,2,0,0,2700,1320,780
Монастырь Алого ордена,78,1004,2,0,0,2700,1320,780
Небесный Путь,161,1209,2,0,0,3400,1700,1020
Шлаковые шахты Кровавого Молота,163,1175,2,0,0,3600,2100,1320
Аукиндон,164,1182,2,0,0,3300,1920,1140
Некрополь Призрачной Луны,165,1176,2,5,0,1980,1584,1188
Депо Мрачных Путей,166,1208,2,5,0,1800,1440,1080
Верхняя часть пика Черной горы,167,1358,2,0,0,5100,2580,1500
Вечное Цветение,168,1279,2,0,0,3600,1800,1050
Железные доки,169,1195,2,5,0,1800,1440,1080
Око Азшары,197,1456,6,0,21063,2100,1680,1260
Чаща Темного Сердца,198,1466,6,0,21063,1800,1440,1080
Крепость Черной Ладьи,199,1501,6,0,21063,2340,1872,1404
Чертоги Доблести,200,1477,6,0,0,2280,1824,1368
Логово Нелтариона,206,1458,6,6,21063,1980,1584,1188
Казематы Стражей,207,1493,6,0,21063,1980,1584,1188
Утроба Душ,208,1492,6,0,0,1440,1152,864
Катакомбы Сурамара,209,1516,6,0,0,2700,2160,1620
Квартал Звезд,210,1571,6,0,0,1800,1440,1080
Возвращение в Каражан: нижний ярус,227,1651,6,0,0,2520,2016,1512
Собор Вечной Ночи,233,1677,6,0,0,2100,1680,1260
Возвращение в Каражан: верхний ярус,234,1651,2,0,0,2100,1680,1260
Престол Триумвирата,239,1753,6,0,0,2100,1680,1260
Атал'Дазар,244,1763,4,7,0,1800,1440,1080
Вольная Гавань,245,1754,4,7,0,1980,1584,1188
Тол Дагор,246,1771,0,7,0,2160,1728,1296
ЗОЛОТАЯ ЖИЛА!!!,247,1594,0,7,0,2340,1872,1404
Усадьба Уэйкрестов,248,1862,0,7,0,2340,1872,1404
Гробница королей,249,1762,0,7,0,2520,2016,1512
Храм Сетралисс,250,1877,0,7,0,2160,1728,1296
Подгнилье,251,1841,0,7,0,1980,1584,1188
Святилище Штормов,252,1864,0,7,0,2520,2016,1512
Осада Боралуса,353,1822,0,7,0,2160,1728,1296
"Операция ""Мехагон"" – свалка",369,2097,4,7,0,2280,1824,1368
"Операция ""Мехагон"" – мастерская",370,2097,0,7,0,1920,1536,1152
Туманы Тирна Скитта,375,2290,0,8,0,1800,1440,1080
Смертельная тризна,376,2286,0,8,0,2160,1728,1296
Та Сторона,377,2291,0,8,0,2580,2064,1548
Чертоги Покаяния,378,2287,0,8,0,1920,1536,1152
Чумные каскады,379,2289,0,8,0,2280,1824,1368
Кровавые катакомбы,380,2284,0,8,0,2460,1968,1476
Шпили Перерождения,381,2285,0,8,0,2340,1872,1404
Театр Боли,382,2293,0,8,0,2280,1824,1368
Тазавеш: улицы Чудес,391,2441,0,8,0,2340,1872,1404
Тазавеш: гамбит Со'леи,392,2441,0,8,0,1800,1440,1080
Рубиновые Омуты Жизни,399,2521,0,9,0,1800,1440,1080
Наступление клана Нокхуд,400,2516,0,9,0,2400,1920,1440
Лазурное хранилище,401,2515,0,9,0,2040,1632,1224
Академия Алгет'ар,402,2526,0,9,0,1920,1536,1152
Ульдаман: наследие Тира,403,2451,0,9,0,0,0,0
Нелтарий,404,2519,0,9,0,0,0,0
Лощина Бурошкуров,405,2520,0,9,0,0,0,0
Чертоги Насыщения,406,2527,0,9,0,0,0,0
