Name_lang,Description_lang,ID,Flags,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
Tiger Test NI,"Initiative is used in Unit Testing, Ask Tiger Lu before changing values",1,1,100,0,-1
Лучшая инициатива,Самая лучшая,6,1,0,90931,0
Test Initiative - Not as good as the last one,Наверное,7,1,0,90934,1
Отличная инициатива,"Может, на самом деле не очень",9,1,0,90935,0
[DNT] With Regards to Sporeggar,"[DNT] The farmers and cultivators of the Neighborhood are struggling to produce good soil for this seasons crop rotation. Sympathetic to their plight, the Cenarion Circle has recommended reaching out to a small farming village on the outskirts of Zangarmarsh...",10,1,0,90973,0
[DNT] Deeperholm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,11,1,0,90973,0
Свечная культура,"В районе начали появляться странные восковые отложения. Вряд ли кто-то придумает им лучшее применение, чем кобольды из Гулких глубин. Узнайте у них все о тонкостях свечного дела.",12,0,0,91278,0
Друг груммелей,"Уход за домом – тяжелая работа! Иногда жалеешь, что в сутках так мало часов. Поэтому мы обратились к груммелям с вершины Кунь-Лай. Они варят особый напиток кафу, который точно вас подстегнет.",13,0,0,91362,0
[DNT] Holm Sweet Holm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,14,1,0,91396,0
Художественная помощь,"Община художников на время поселилась в районе, пережидая войну на родине. Эти эльфы крови готовы дать несколько уроков местным жителям.",15,0,0,91633,0
Выход за границы возможного,Драктиры не так давно вышли из спячки и выбрали свой путь в жизни. Их горячая любознательность вдохновит жителей района обучиться новым ремеслам.,16,0,0,92151,0
Умеренная механизация,"Механогномы из Мехагона пришли, чтобы установить в районе технологические улучшения.",17,0,0,92687,0
Переполох в Консорциуме,"Консорциум помогает жителям района вернуть предметы, пропавшие в хранилище Бездны.",18,0,0,93941,0
Оживленное обоняние,"Ниффы прибыли в ваш район, чтобы решить проблемы с опылением. Объединитесь с ними и помогите району расцвести.",19,0,0,94009,0
Где бакар зарыт,"Жители района очень любят своих питомцев, однако их трудно дрессировать. Кентавры Маруук с равнин Он'ары очень дружны со своими бакарами – может, они не откажутся поделиться парой хитростей.",20,0,0,95174,0
Подделки под Амани,"Жуль со своей группой странствующих торговцев прибудет в район, чтобы поторговать ""традиционными аманийскими товарами"". В подлинности этих предметов можно усомниться, но выглядят они неплохо.",22,0,0,95334,0
Сезон отпусков,"Тортолланы – народ весьма искушенный. Настолько искушенный, что с вашим районом они уже давно знакомы, поскольку отдыхали здесь задолго до того, как вы тут обосновались! Обогатитесь их мудростью в вопросах отдыха.",24,0,0,96734,0
