ID,SortName_lang,UiOrderIndex,Flags
1,Эпические,0,0
21,Тыквовин,0,0
22,Сезонные,0,0
23,Cataclysm,0,0
24,Травничество,0,0
25,Поля боя,0,0
41,День мертвых,0,0
61,Чернокнижник,0,0
81,Воин,0,0
82,Шаман,0,0
101,Рыбная ловля,0,0
121,Кузнечное дело,0,0
141,Паладин,0,0
161,Маг,0,0
162,Разбойник,0,0
181,Алхимия,0,0
182,Кожевничество,0,0
201,Инженерное дело,0,0
221,Карта сокровищ,0,0
241,Турнир,3,0
261,Охотник,0,0
262,Жрец,0,0
263,Друид,0,0
264,Портняжное дело,0,0
284,Особые,0,0
304,Кулинария,0,0
324,Первая помощь,0,0
344,Легенды,0,1
364,Ярмарка Новолуния,0,0
365,Ан'киражская война,0,0
366,Лунный фестиваль,0,0
367,Репутация,0,0
368,Вторжение,0,0
369,Огненный солнцеворот,0,0
370,Хмельной фестиваль,0,0
371,Начертание,0,0
372,Рыцарь смерти,0,0
373,Ювелирное дело,0,0
374,Сад чудес,0,0
375,Пиршество странников,0,0
376,Любовная лихорадка,0,0
377,Археология,0,0
378,Детская неделя,0,0
379,Вторжение на Огненные Просторы,0,0
380,Племя Зандалари,0,0
381,Власть стихий,0,0
391,Пандарены-пивовары,0,0
392,Сценарий,0,0
394,Боевые питомцы,2,0
395,Монах,0,0
396,Высадка,0,0
397,Пандаренская кампания,0,0
398,Верховая езда,0,0
399,Бойцовская гильдия,0,0
400,Арена испытаний,0,0
401,Гарнизонная кампания,0,0
402,Атака на Темный портал,0,0
403,Поддержка гарнизона,0,0
404,Лесозаготовка,0,0
405,Карманная кража,0,0
406,Артефакт,0,0
407,Охотник на демонов,0,0
408,Горное дело,0,0
409,Событие выходного дня,0,0
410,Наложение чар,0,0
411,Кожевничество,0,0
412,Локальное задание,0,0
413,Кампания рыцаря смерти,0,0
416,Кампания охотника на демонов,0,0
417,Кампания друида,0,0
418,Кампания охотника,0,0
419,Кампания монаха,0,0
420,Кампания мага,0,0
421,Кампания жреца,0,0
422,Кампания паладина,0,0
423,Кампания шамана,0,0
424,Кампания разбойника,0,0
425,Кампания чернокнижника,0,0
426,Кампания воина,0,0
427,Оплот класса,0,0
428,"Кампания ""Погибель Легиона""",0,0
429,Охота на Иллидана Ярость Бури,0,0
430,День пирата,0,0
431,Экспедиция на Аргус,0,0
432,Фронты,0,0
433,Фестиваль лунных совухов,0,0
434,Путь короля,0,0
435,Смерти Хроми,0,0
436,Турбоцыпленок,0,0
437,Озаренные дренеи,0,0
438,Таурены Крутогорья,0,0
439,Эльф Бездны,0,0
440,Ночнорожденные,0,0
441,Подземелье,0,0
442,Рейд,0,0
444,Союзные расы,0,0
445,План вождя,0,0
446,Путешествие искателя приключений,0,0
447,Военная кампания Альянса,0,0
448,Военная кампания Орды,0,0
449,Дворфы из клана Черного Железа,0,0
450,Маг'хар,0,0
451,Темный охотник,0,0
453,Островные экспедиции,0,0
555,Режим открытого PvP,0,0
556,"""Гордость Кул-Тираса""",0,0
557,Рейтинговые PvP-бои,0,0
559,Зандалары,0,0
560,Наследие,0,0
561,Край Приключений,0,0
562,Месть Тиранды,0,0
563,Судьба Саурфанга,0,0
564,День бесплатных футболок,0,0
565,Горнило Штормов,0,0
566,Култирасцы,0,0
567,Нападение,0,0
569,Сердце Азерот,0,0
571,Профессии,0,0
573,Назжатарские соратники,0,0
574,Грехопад,0,0
575,Месть Коррака,0,0
576,Обитель ковенанта,0,0
579,Пригласи друга,0,0
580,Видения Н'Зота,0,0
582,Вульперы,0,0
583,Механогномы,0,0
584,"Кампания ""Темная Империя""",0,0
586,Пепельный двор,0,0
587,Расколотое небо,0,0
588,Приход Смерти,0,0
589,Призывы кирий,0,0
590,Призывы ночного народца,0,0
591,Призывы некролордов,0,0
592,Призывы вентиров,0,0
593,Сшивание поганищ,0,0
594,Кампания прошлого,0,0
595,Путь Перерождения,0,0
596,Изготовление легендарных предметов,0,0
600,Кампания 9.1,0,0
601,Шифры Предвечных,0,0
602,Кампания Зерет Мортиса,0,0
603,Кодекс архивариуса,0,0
604,Штурмы ковенантов,0,0
606,Протосинтез,0,0
607,Гл. 6 – поиски символа,0,0
608,Неудержимая буря,0,0
609,Драконья экспедиция,0,0
610,Изначальные бури,0,0
611,Искарские клыкарры,0,0
612,Кентавры Маруук,0,0
613,Союз Вальдраккена,0,0
614,Задания пробудителя,0,0
615,Торговая лавка,0,0
616,Двигатель открытий,0,0
617,Консорциум ремесленников,0,0
618,Лагеря насыщения,0,0
620,Задания посланников,0,0
622,Исследователи под огнем,0,0
623,Азеротские Архивы,0,0
624,Наденьте это немедленно!,0,0
625,Системы,0,0
626,Порталы времени,0,0
627,Детский сад для драконят,0,0
628,Прилив Снов,0,0
629,Стражи Сна,0,0
630,Возвращение Гилнеаса,0,0
631,Кубок Калимдора,0,0
632,Кубок Восточных королевств,0,0
633,Кубок Запределья,0,0
634,Кубок Нордскола,0,0
635,Кубок Пандарии,0,0
636,Кубок Расколотых островов,0,0
637,Предвестница,0,0
638,Годовщина Hearthstone,0,0
639,Путешествия во времени,0,0
640,Земельники,0,0
642,Система улучшения,0,0
643,Отряды,0,0
645,Метазадания,10,1
646,Тайны Азерота,0,0
647,Исторические кампании,0,0
651,Коварные Дуо,0,0
652,Вылазки,0,0
