ID,Name_lang,BackgroundFile,Description_lang,OrderIndex,Field_4_4_0_53627_004,ClassMask,CategoryEnumID,SpellIconID,RoleMask,MasterySpellID[0],MasterySpellID[1]
181,Бой,RogueCombat,"Ловкий и коварный головорез, мастер ближнего боя.",1,0,8,0,0,8,76806,0
182,Ликвидация,RogueAssassination,"Опаснейший знаток ядов, который расправляется с противниками ударами отравленных кинжалов.",0,0,8,0,0,8,76803,0
183,Скрытность,RogueSubtlety,"Мастер скрытности, в совершенстве владеющий искусством незаметного передвижения, внезапных и смертельных атак.",2,0,8,0,0,8,76808,0
261,Стихии,ShamanElementalCombat,"Заклинатель, который подчиняет себе разрушительные силы стихий.",0,0,64,0,0,8,77222,0
262,Исцеление,ShamanRestoration,"Лекарь, который взывает к духам предков и очистительной силе воды, чтобы исцелить раны союзников.",2,0,64,0,0,4,77226,0
263,Совершенствование,ShamanEnhancement,"Боец, использующий тотемы и разящий врагов оружием, усиленным духами стихий.",1,0,64,0,0,8,77223,0
398,Кровь,DeathKnightBlood,"Темный защитник, который сдерживает натиск врагов, подпитывая себя за счет их жизненной энергии.",0,0,32,0,0,2,77513,0
399,Лед,DeathKnightFrost,"Безжалостный вестник рока, использующий силу рун и наносящий молниеносные удары оружием.",1,0,32,0,0,8,77514,0
400,Нечестивость,DeathKnightUnholy,"Повелитель смерти и разложения, распространяющий болезни и управляющий прислужниками-нежитью.",2,0,32,0,0,8,77515,0
409,Упорство,HunterPetTenacity,,0,0,0,2,0,2,0,0
410,,,,0,0,0,0,0,0,0,0
411,,,,0,0,0,0,0,0,0,0
760,Послушание,PriestDiscipline,Использует магию для защиты союзников и исцеления их ран.,0,0,16,0,0,4,77484,0
795,Тьма,PriestShadow,"Для уничтожения врагов пользуется магией Тьмы, предпочитая заклинания, наносящие периодический урон.",2,0,16,0,0,8,77486,0
807,Стрельба,HunterMarksmanship,"Меткий стрелок, с которым никто не сравнится в стрельбе с большого расстояния.",1,0,4,0,0,8,76659,0
809,Выживание,HunterSurvival,"Следопыт, который предпочитает использовать яды, взрывчатку и ловушки.",2,0,4,0,0,8,76658,0
811,Повелитель зверей,HunterBeastMastery,"Знаток зверей, который умеет приручать животных разных видов и использовать их в сражении.",0,0,4,0,0,8,76657,0
813,Свет,PriestHoly,"Универсальный лекарь, который исцеляет одиночные цели и группы и может лечить даже после смерти.",1,0,16,0,0,4,77485,0
865,Разрушение,WarlockDestruction,"Призывает пламя, опаляющее и уничтожающее врагов. Наносит существенный урон за короткое время.",2,0,256,0,0,8,77220,0
867,Демонология,WarlockSummoning,"Мастер демонической магии, умеющий превращаться в демона и призывать на помощь темные силы.",1,0,256,0,0,8,77219,0
871,Колдовство,WarlockCurses,"Знаток темной магии, умеющий устрашать врагов, вытягивать из них силы и наносить периодический урон.",0,0,256,0,0,8,77215,0
2053,,,,0,0,0,0,0,0,0,0
2054,,,,0,0,0,0,0,0,0,0
2058,,,,0,0,0,0,0,0,0,0
2096,,,,0,0,0,0,0,0,0,0
2208,,,,0,0,0,0,0,0,0,0
2213,,,,0,0,0,0,0,0,0,0
2214,,,,0,0,0,0,0,0,0,0
2219,,,,0,0,0,0,0,0,0,0
2223,,,,0,0,0,0,0,0,0,0
2239,,,,0,0,0,0,0,0,0,0
2740,,,,0,0,0,0,0,0,0,0
3279,,,,0,0,0,0,0,0,0,0
