ID,Name_lang
1,Test Transmog Set Group
6,Потрясающий уровень
7,Повышение уровня
8,Цитадель Ночи
9,12-й сезон
10,Престол Гроз
11,Warlords of Draenor: 1-й сезон
12,Warlords of Draenor: 2-й сезон
13,Warlords of Draenor: 3-й сезон
14,15-й сезон
15,14-й сезон
16,13-й сезон
17,11-й сезон
18,10-й сезон
19,9-й сезон
20,8-й сезон
21,7-й сезон
22,6-й сезон
23,5-й сезон
24,4-й сезон
25,3-й сезон
26,2-й сезон
27,1-й сезон
28,Цитадель Адского Пламени
29,Литейная клана Черной горы
30,Осада Оргриммара
31,Сердце Страха
32,Душа Дракона
33,Огненные Просторы
34,Сумеречный бастион
35,Цитадель Ледяной Короны
36,Испытание крестоносца
37,Ульдуар
38,Наксрамас
39,Черный храм
40,Змеиное святилище
41,Логово Груула
42,Наксрамас
43,Логово Крыла Тьмы
44,Огненные недра
45,Legion: 1-й и 2-й сезоны
46,Legion: 3-й и 4-й сезоны
47,Испытание доблести
48,Вторжения Легиона
49,Оплот класса Legion
50,Плато Солнечного Колодца
51,Храм Ан'Киража
52,Ярмарка Новолуния
53,Ярмарка Новолуния
54,Цитадель Адского Пламени
56,Гробница Саргераса
57,"Legion: 5-й, 6-й и 7-й сезоны"
58,Подземелья Пандарии в режиме испытаний
59,Хранитель времени
60,Наденьте это немедленно!
61,Фракции Дренора
62,"Анторус, Пылающий Трон"
63,Престол Триумвирата
64,Союзные расы
165,Святилище Штормов
166,Ульдир
167,1-й сезон Azeroth и фронт Арати
168,2-й сезон Azeroth и фронт: битва за Темные берега
169,Битва за Дазар'алор
171,Бойцовская гильдия
172,Вечный дворец
173,3-й сезон Azeroth
174,Промоакция: пригласи друга
175,4-й сезон Azeroth
176,"Ни'алота, Пробуждающийся Город"
177,Разработка
178,Ночной народец
179,Вентиры
180,Некролорды
181,Кирии
182,1-й сезон Shadowlands
183,Замок Нафрия
184,Регалии стража рощи
185,Регалии претендента
186,Облачение некроманта
187,Убранство придворного
188,Облачение инквизитора
189,2-й сезон Shadowlands
190,Святилище Господства
191,3-й сезон Shadowlands
192,Гробница Предвечных
193,Темные Земли: 3-й и 4-й сезоны
194,Одежды горожан Вальдраккена
195,Хранилище Воплощений
198,Торговая лавка
199,Изначальные стихии
200,Боевое облачение драктира
201,
202,Боевое снаряжение клыкарров
203,Экспедиционное снаряжение
204,Облачение хранителя титанов
205,Регалии кентавров
206,Боевое снаряжение джарадинов
207,1-й сезон Dragonflight
208,Традиционные доспехи
209,"Промоакция: ""Пригласи друга"" (Dragonflight)"
210,Пещера Заралек
211,"Аберрий, Затененное Горнило"
212,2-й сезон Dragonflight
213,Драконий наряд смертных
214,Dragonflight: 1-й и 2-й сезоны
215,Снаряжение покорителя пещер
216,Кубок Калимдора
217,Погибель Сапфирона
218,Порталы времени
219,Порталы времени
221,Дружба с Соридорми
222,Традиционные доспехи
223,Порталы времени и Рассвет Бесконечности
224,Чары сновидца
225,"Амирдрассил, Надежда Сна"
226,Dragonflight: 3-й и 4-й сезоны
227,Гоночный Кубок
228,Традиционные доспехи
229,Регалии повелителей ужаса
230,Регалии небесного капитана
231,Одеяние ведьмы любви
232,Комплект Скитальца Пустыни
233,Облачение странника бурь
234,Регалии Кирин-Тора
235,Дипломатские регалии
236,Обмотки феникса
237,Облачение наблюдателя
238,Облачение чудес
239,Одежды Прародителя
240,Шерстяной уют
241,Коллекция весеннего торжества
242,Набор командира темных следопытов
243,Mists of Pandaria: подземелье
244,Mists of Pandaria: вне подземелья
246,Безжалостное возмездие
247,Убранство владыки грабежа
249,Потертые доспехи гладиатора
250,Гилнеасские регалии
251,Убранство владыки грабежа
252,Обноски буканьера
253,Известность у арати Тайносводья
254,Предписание почетного члена совета
255,Ориентация картографа
256,Талант ремесленника
257,Униформа труженика
258,Сувениры торговца
259,Элегантность посетителя
260,Повседневный наряд
261,Знание преподавателя
262,Уютный комбинезон мурлока
263,Тропический комплект
264,Подземное снаряжение
265,Тропический купальный костюм
266,Костюм ныряльщика
267,Снаряжение Тайносводья
268,Защитник Даларана
269,Регалии земельника
270,Оружие замельников
271,1-й сезон The War Within
272,Традиционные доспехи
273,Неруб'арский дворец
274,20-я годовщина World of Warcraft
275,Задания Тайносводья
276,Принеси им свет
277,Снаряжение вылазок
278,Уборочный голем
279,Оружие защитника Дорна
280,Алгарийская кольчуга
281,Регалии Артерии
282,Нити Пробуждения
283,"The War Within, 2-й сезон"
285,The Burning Crusade: подземелье
286,Wrath of the Lich King: подземелье
287,Wrath of the Lich King: PvP
288,Охота на редких монстров
289,Штормовое убранство владыки грабежа
290,Небесное облачение
291,Механическая коллекция
292,Узорные одеяния Лунного фестиваля
293,Остров Сирен
294,Остров Сирен
295,Cataclysm: PvP
296,Творения дренорского ремесленника
297,Подземелья Legion
298,Боевое снаряжение врайкулов
299,Медь
300,Украшения бабочки
301,Лучший друг картелей
302,Картели Нижней Шахты
303,Снаряжение Нижней Шахты
304,Коллекция лесного обитателя
305,Освобождение Нижней Шахты
308,Торговец декоративными доспехами
309,Торговец декоративными доспехами
310,Торговец декоративными доспехами
311,Торговец декоративными доспехами
312,Задачи в открытом мире в Нижней Шахте
313,Картели Нижней Шахты
