ID,FailureReason_lang,PlayerConditionID,OrderIndex,Flags,CampaignID
15,斥候正在尋找另一個適合作為贊達拉據點的場所。|n|n達到114級以繼續。,62173,2,0,1
16,斥候正在尋找戰爭需要用到的艾澤萊晶岩。|n|n達到116級以繼續。,62174,3,0,1
17,斥候正在尋找另一個適合作為贊達拉據點的場所。|n|n達到118級以繼續。,62175,4,0,1
23,斥候正在尋找另一個適合作為庫爾提拉斯據點的場所。|n|n達到114級以繼續。,62184,2,0,2
24,斥候正在尋找戰爭需要用到的艾澤萊晶岩。|n|n達到48級以繼續。,62185,3,0,2
25,斥候正在尋找另一個適合作為庫爾提拉斯據點的場所。|n|n達到118級以繼續。,62186,4,0,2
29,指揮官海弗德‧龍禍正在擬定贊達拉的進攻計畫。|n|n達到120級以繼續。,62523,5,0,1
30,納薩諾斯正在擬定庫爾提拉斯的進攻計畫。|n|n達到120級以繼續。,62524,5,0,2
147,完成「失落的榮耀」系列任務以繼續進行陣營戰役。,69018,13,0,2
152,完成任務「狼的攻勢」和「派出艦隊」以前往納沙塔爾。,72028,6,0,1
153,完成任務「大酋長的命令」和「派出艦隊」以前往納沙塔爾。,72029,14,0,2
156,完成任務「抱歉借魄一下」以繼續。,77905,0,0,114
161,,90281,0,0,126
167,,0,1,0,111
168,完成統御之鏈戰役的「專注眼睛」章節，可繼續進行戰役。,92548,2,0,113
170,達到名望等級5即可繼續進行戰役。,88564,3,0,113
171,達到名望等級8即可繼續進行戰役。,88568,4,0,113
172,達到名望等級11即可繼續進行戰役。,86974,5,0,113
174,達到名望等級13即可繼續進行戰役。,86977,6,0,113
175,達到名望等級17即可繼續進行戰役。,86981,7,0,113
176,達到名望等級22即可繼續進行戰役。,86990,9,0,113
177,達到等級$pcMinLevel後可繼續。,87254,3,0,114
178,達到等級$pcMinLevel後可繼續。,87384,1,0,124
186,完成「昇靈堡的呼喚」任務以繼續進行戰役。,88058,0,0,119
187,完成「瑪卓薩斯的呼喚」任務以繼續進行戰役。,88059,0,0,115
188,完成「亞登曠野的呼喚」任務以繼續進行戰役。,88060,0,0,117
189,完成「瑞文崔斯的呼喚」任務以繼續進行戰役。,88061,0,0,113
190,完成《統御之鏈》戰役的「專注眼睛」章節以繼續進行該戰役。,92548,2,0,119
191,達到名望等級5即可繼續進行戰役。,88561,3,0,119
192,達到名望等級8即可繼續進行戰役。,88565,4,0,119
193,達到名望等級11即可繼續進行戰役。,86212,5,0,119
194,達到名望等級13即可繼續進行戰役。,86213,6,0,119
195,達到名望等級17即可繼續進行戰役。,86214,7,0,119
196,達到名望等級20即可繼續進行戰役。,86215,8,0,119
197,完成《統御之鏈》戰役的「專注眼睛」章節以繼續進行該戰役。,92548,2,0,117
198,達到名望等級5即可繼續進行戰役。,88563,3,0,117
199,達到名望等級8即可繼續進行戰役。,88567,4,0,117
200,達到名望等級11即可繼續進行戰役。,86972,5,0,117
201,達到名望等級13即可繼續進行戰役。,86975,6,0,117
202,達到名望等級17即可繼續進行戰役。,86979,7,0,117
203,達到名望等級20即可繼續進行戰役。,86982,8,0,117
204,完成《統御之鏈》戰役的「專注眼睛」章節以繼續進行該戰役。,92548,2,0,115
205,達到名望等級5即可繼續進行戰役。,88562,3,0,115
206,達到名望等級8即可繼續進行戰役。,88566,4,0,115
207,達到名望等級11即可繼續進行戰役。,86973,5,0,115
208,達到名望等級13即可繼續進行戰役。,86976,6,0,115
209,達到名望等級17即可繼續進行戰役。,86980,7,0,115
210,達到名望等級20即可繼續進行戰役。,86983,8,0,115
211,在淵喉接受任務「遺忘牢獄」，就能繼續進行戰役。,88895,1,0,117
212,在淵喉接受任務「遺忘牢獄」，就能繼續進行戰役。,88895,1,0,113
213,在淵喉接受任務「遺忘牢獄」，就能繼續進行戰役。,88895,1,0,115
214,在淵喉接受任務「遺忘牢獄」，就能繼續進行戰役。,88895,1,0,119
215,,0,0,0,111
216,,88933,0,0,124
217,,89130,1,0,114
218,,89131,2,0,114
221,達到名望等級20即可繼續進行戰役。,86984,8,0,113
240,在餘燼區救出勞倫特即可繼續進行戰役。,88026,10,0,113
246,完成你的誓盟戰役以繼續進行此戰役。,92551,0,0,138
247,達到名望等級44即可繼續進行戰役。,92797,1,0,138
248,達到名望等級47即可繼續進行戰役。,91334,2,0,138
249,達到名望等級50即可繼續進行戰役。,91335,3,0,138
250,在瑞文崔斯接受並完成任務「曙光要塞囚犯」，就能繼續進行戰役。,96305,4,0,138
251,達到名望等級52即可繼續進行戰役。,91336,5,0,138
252,達到名望等級56即可繼續進行戰役。,91337,6,0,138
253,達到名望等級22即可繼續進行戰役。,86216,9,0,119
254,達到名望等級22即可繼續進行戰役。,86989,9,0,115
255,達到名望等級22即可繼續進行戰役。,86988,9,0,117
