Description_lang,StandingModified_lang,StandingChangedText_lang,ID,FactionID,TextureFileID,Flags
農夫老豐把你視為%s。農夫老豐喜歡溼地百合和炭烤野雉。,,,2,1283,604882,0
奇奇把你視為%s。奇奇喜歡藍色羽毛和峽谷快炒。,,,16,1277,604882,0
艾拉把你視為%s。艾拉喜歡玉貓和鮮蝦蒸餃。,,,17,1275,604882,0
小魚‧跌蘆把你視為%s。小魚喜歡玉貓和雙魚拼盤。,,,18,1282,604882,0
吉娜‧泥爪把你視為%s。吉娜喜歡溼地百合和繚繞薄霧湯。,,,19,1281,604882,0
好漢‧泥爪把你視為%s。好漢‧泥爪喜歡紅寶石裂片和火烤老虎肉排。,,,20,1279,604882,0
『酒鬼』酒骨把你視為%s。酒骨喜歡可愛的蘋果和炒胡蘿蔔。,,,21,1273,604882,0
老丘爪把你視為%s。老丘爪喜歡藍色羽毛和燉龜肉。,,,22,1276,604882,0
阿秀把你視為%s。阿秀喜歡可愛的蘋果和恆春魚。,,,23,1278,604882,0
蒂娜‧泥爪把你視為%s。蒂娜喜歡紅寶石裂片和火靈鮭魚。,,,24,1280,604882,0
糯米是個非常聰明的%s廚師。透過你每堂教導他的課程，他的技術都會變得更加成熟!,,,25,1357,604882,0
納特把你視為%s。納特喜歡喝酒。也許你幫他找到更多罕見魚類的話，他會願意跟你分享!,,,26,1358,604882,0
你目前在鬥陣競技場的排名是%s。,,,28,2372,666624,0
你目前在畢茲摩鬥陣俱樂部的排名是%s。,,,43,2371,666623,0
暗矛反抗軍現在的物資%s。,,,72,1440,666624,0
托爾瑪克目前是你的%s。,,,160,1736,666623,0
防衛者伊蘿娜目前是你的%s。,,,162,1738,666623,0
愛伊達‧明曦目前是你的%s。,,,163,1740,666623,0
德爾瓦‧鐵拳目前是你的%s。,,,164,1733,666623,0
薇薇安妮目前是你的%s。,,,165,1739,666623,0
魔爪祭司艾夏歐目前是你的%s。,,,166,1737,666623,0
雷歐拉杰目前是你的%s。,,,167,1741,666623,0
%s,,,171,1374,666624,0
%s,,,172,1419,666623,0
"首席秘法師薩莉瑟拉是%s。

夜裔對蘇拉瑪爾境內到處都找得到的|cFF66BBFF上古法力|r有著無盡的飢渴。",,,181,1860,1391545,0
"西爾格林是%s。

夜落精靈對|cFF66BBFF上古法力|r有著無盡的飢渴。在蘇拉瑪爾有許多天然的源頭，但是都比不上夜井。",,,182,1861,1391545,0
"首席傳送師歐庫雷斯是%s。

夜裔對蘇拉瑪爾境內到處都找得到的|cFF66BBFF上古法力|r有著無盡的飢渴。",,,183,1862,1391545,0
7.0 Champions Test - Chen Stormstout - Uses Test Faction (949),,,184,949,666623,0
"秘法師薇兒塔是%s。

夜裔對蘇拉瑪爾境內到處都找得到的|cFF66BBFF上古法力|r有著無盡的饑渴。",,,185,1919,1391545,0
咒術師瑪苟斯把你當作%s。他對魔法沒什麼興趣。釣魚才是他的熱情所在！,,,193,1975,604882,0
歐莉珊拉和安潔利奎把你當作%s。她們想替需要的人提供必要的醫療補給。,,,195,1984,604882,0
Arne Test - is currently your %s.,,,198,0,666623,0
『水之守衛者』伊莉西亞視你為%s。跟她一起在艾蘇納釣魚。,,,199,2097,604882,0
阿庫爾把你視為%s。跟他一起在高嶺釣魚。,,,200,2099,604882,0
英普斯把你視為%s。跟他一起在破碎海岸釣魚。,,,202,2102,604882,0
守護者蕾奈把你視為%s。跟她一起在維爾薩拉釣魚。,,,204,2098,604882,0
夏蕾斯視你為%s。跟她一起在蘇拉瑪爾釣魚。,,,206,2101,604882,0
柯爾賓視你為%s。跟他一起在斯鐸海姆釣魚。,,,208,2100,604882,0
克羅米把你視為%s。,,,209,2135,4191562,0
%s,,,210,1691,666624,0
%s,,,212,1690,666624,0
翼手龍成長為%s了。,,,213,2233,1391545,0
恐角龍成長為%s了。,,,315,2370,604882,0
獵手阿卡納是%s。,獵手阿卡納獲得%d點戰鬥經驗值。,獵手阿卡納成為%s。,316,2375,604882,25
先知歐里是%s。,先知歐里獲得%d點戰鬥經驗值。,先知歐里成為%s。,317,2376,604882,25
劍客伊野斬是%s。,劍客伊野斬獲得%d點戰鬥經驗值。,劍客伊野斬成為%s。,318,2377,604882,25
奈莉‧銳鰭是%s。,奈莉‧銳鰭獲得%d點戰鬥經驗值。,奈莉‧銳鰭成為%s。,320,2389,604882,25
波恩‧括鰭是%s。,波恩‧括鰭獲得%d點戰鬥經驗值。,波恩‧括鰭成為%s。,323,2388,666624,25
維姆‧鹽心是%s。,維姆‧鹽心獲得%d點戰鬥經驗值。,維姆‧鹽心成為%s。,324,2390,604882,25
一隻%s的蜜背採收蜂。,,,325,2398,604882,0
一隻%s的蜜背雄蜂。,,,326,2396,604882,0
一隻%s的蜜背女王蜂。,,,327,2397,604882,0
%s,,,339,2011,666624,0
%s,,,340,2010,666624,0
亞基蟲寶寶成長為%s了。,,,365,2427,604882,0
維娜里的眼神帶著%s的神情。,維娜里認為你頗有價值。[獲得%d點聲望。],現在維娜里以%s的態度看待你。,366,2432,4216713,8
瓦許女爵將你視為%s。,,,367,2446,604882,0
