ID,DisplayName_lang,Description_lang,Field_9_0_1_33978_001,MatQualityWeight,Field_10_0_0_44649_004
1,指定加速,暗影之境精良與傳說防具和配件設計圖。,0,0,0
3,TEST ONLY,,1,0,0
5,指定精通,《暗影之境》精良與傳說防具和配件的設計圖。,0,0,0
6,指定致命一擊,《暗影之境》精良與傳說防具和配件的設計圖。,0,0,0
7,指定臨機應變,《暗影之境》精良與傳說防具和配件的設計圖。,0,0,0
8,提高物品等級,,0,0,0
11,鬆弛的腰帶,,0,0,0
15,指定套裝,,0,0,0
17,使用,,1,0,0
18,提高物品等級,《暗影之境》版本前許多裝備的設計圖。,0,0,0
25,其他,,0,0,0
29,設定物品等級,《暗影之境》大多數裝備的設計圖。,0,0,0
30,提高物品等級,《暗影之境》版本前許多裝備的設計圖。,0,0,0
31,提高物品等級,《暗影之境》版本前許多裝備的設計圖。,0,0,0
32,提高物品等級,《暗影之境》版本前許多裝備的設計圖。,0,0,0
33,提高物品等級,《暗影之境》版本前許多裝備的設計圖。,0,0,0
35,艾雷希底座,,0,0,0
36,在此顯示文字。,,1,0,0
37,亡靜微電容器,,0,0,0
38,強化束腰,,0,0,0
39,巧匠的小包,,0,0,0
40,流體動力加速器,,0,0,0
41,奢華羽毛,,0,0,0
42,暗影兔的腳掌,,0,0,0
44,鍊金師的小包,,0,0,0
45,設定物品等級,《暗影之境》大多數防具和配件的設計圖。,0,0,0
46,提高物品等級,《暗影之境》精良(藍色)防具和配件的設計圖。,0,0,0
50,設定物品等級,《暗影之境》值得升為傳說的防具和配件的設計圖。,0,0,0
51,提高物品等級,《暗影之境》精良(藍色)防具和配件的設計圖。,0,0,0
52,提高物品等級,《暗影之境》精良(藍色)防具和配件的設計圖。,0,0,0
53,提高物品等級,《暗影之境》精良(藍色)防具和配件的設計圖。,0,0,0
54,提高物品等級,《暗影之境》精良(藍色)防具和配件的設計圖。,0,0,0
55,設定物品等級,《暗影之境》值得升為傳說的防具和配件的設計圖。,0,0,0
56,新增創先者核心,《暗影之境》精良(藍色)防具和配件的設計圖。,0,0,0
57,Test Ore,,1,20,1
59,龍金礦石,,0,10,1
60,卡茲格羅岩礦石,,0,14,1
61,賽若拜岩礦石,,0,3,1
62,洪荒熔鑄合金,,0,48,1
63,霜火合金,,0,48,1
64,黑曜灼燒合金,,0,78,1
65,忿怒合金,,0,33,1
66,Test Optional Reagent with Quality 01,Most Dragon Isles Test with Recipes. (DNT),0,0,0
67,Test Optional Reagent with Quality 02,Most Dragon Isles Test with Recipes. (DNT),0,0,0
68,Test Finishing Reagent,Test finishing reagent slot (DNT),0,0,2
69,Test Finishing Reagent with Quality 01,Test finishing reagent slot (DNT),0,0,2
71,荷芡花,,0,3,1
72,龍之瓶,,0,11,1
73,虎耳草,,0,6,1
74,泡沫罌粟,,0,6,1
75,攀纏樹皮,,0,6,1
76,威能元素藥水,,0,22,1
77,全能之龍,,0,12,1
78,洪荒聚合,,0,39,1
79,不慍不火之瓶,,0,32,1
80,元素混沌之瓶,,0,35,1
81,凍結專注藥水,,0,21,1
83,設定物品等級,等級1《暗影之境》值得升為傳說的防具和配件的設計圖。,0,0,0
84,10.0 Optional Reagent - End Game Upgrade,巨龍群島最為史詩的裝備設計圖。,0,0,0
85,強化裝甲,Used with Dragon Isles crafted gear for Cantrip. (DNT),0,0,0
87,護甲尖刺,巨龍群島最樸素的史詩護甲設計圖。,0,10,0
88,10.0 Optional Reagent - Outdoor Upgrade Leveling - Non Weapon,巨龍群島最精良(藍色)的護甲和配件設計圖。,0,0,0
89,短效威能元素藥水,,0,0,1
90,可疑泡泡飲料,,0,0,1
91,普卡大鍋,,0,42,1
92,暴風眼之瓶,,0,35,1
93,靜氣之瓶,,0,35,1
94,冰凍護存之瓶,,0,36,1
95,腐化之怒冰瓶,,0,36,1
96,高能隔離之瓶,,0,36,1
97,備戰清新瓶,,0,0,1
98,靜止強化之瓶,,0,33,1
99,純熟氣泡瓶,,0,17,1
100,技法蒸汽瓶,,0,17,1
101,矯捷充能瓶,,0,32,1
102,凍結死亡藥水,,0,27,1
103,感知水晶之瓶,,0,17,1
104,瓶裝腐敗,,0,25,1
106,冰冷清晰藥水,,0,23,1
107,凋萎活力藥水,,0,23,1
108,殘餘的神經傳導劑,,0,23,1
109,精緻的孢子懸浮液,,0,23,1
110,提神治療藥水,,0,11,1
111,至高威能元素藥水,,0,32,1
112,充氣法力藥水,,0,14,1
114,寂靜之風藥水,,0,21,1
115,狂風藥水,,0,20,1
116,震驚揭露藥水,,0,20,1
118,威能藥水大鍋,,0,691,1
119,至高威能藥水大鍋,,0,946,1
120,睿智薰香,,0,29,1
121,安眠薰香,,0,14,1
122,狂喜薰香,,0,14,1
123,熱情薰香,,0,14,1
124,短效至高威能元素藥水,,0,0,1
125,穩定的液態龍金礦石,許多巨龍群島鍛造與鎖甲設計圖。,0,0,2
126,裔鹽,許多巨龍群島鍊金術配方與皮甲設計圖。,0,0,2
127,攀纏火油,許多巨龍群島鍛造與製皮護甲設計圖。,0,0,2
128,強化激盪藥水,巨龍群島鍊金術藥水配方。,0,0,2
129,反應瓶裝飾,巨龍群島鍊金術藥劑配方。,0,0,2
130,藥水吸收抑制劑,巨龍群島最樸素的史詩裝備設計圖。,0,0,0
131,煉金術風味袋,巨龍群島最樸素的史詩裝備設計圖。,0,0,0
133,卓越洞見,極為精細，十分難以製造的巨龍群島配方。,0,0,2
134,次級卓越洞見,巨龍群島的工藝配方，用於製作小型或簡單的物品。,0,0,2
135,指定致命一擊和加速,許多巨龍群島裝備設計圖。,0,0,0
137,女王紅寶石,,0,25,1
138,神秘藍寶石,,0,25,1
139,鮮豔翡翠,,0,25,1
140,裂紋黑瑪瑙,,0,25,1
141,永恆琥珀,,0,15,1
142,雅立史紅晶,,0,108,1
143,瑪里藍鑽,,0,108,1
144,伊瑟翡翠,,0,108,1
145,奈薩里黑晶,,0,108,1
146,諾茲多琥珀,,0,88,1
147,無限鑽石,,0,254,1
149,無框鏡片,,0,26,1
151,光亮的石頭,,0,21,1
152,去污沙,大多數巨龍群島銘文學技藝。,0,0,2
153,吸墨粉,大多數巨龍群島銘文學技藝。,0,0,2
154,閃爍扣環,,0,20,1
155,投影稜鏡,,0,31,1
156,強韌皮革,,0,2,1
157,不滅龍鱗,,0,2,1
158,濃密毛皮,,0,31,1
159,閃鱗皮,,0,31,1
160,忿怒毛皮,,0,42,1
161,忿怒鱗片,,0,42,1
162,死亡之寒毛皮,,0,45,1
163,乾磨龍鱗,,0,45,1
170,地耀龍鱗,,0,45,1
171,霜齧龍鱗,,0,45,1
172,污泥雪融毛皮,,0,45,1
173,石殼毛皮,,0,45,1
175,光滑寶石粉,,0,20,1
176,元素和諧,,0,291,1
364,粗硬打磨布,大多數巨龍群島珠寶設計圖。,0,0,2
365,光亮打磨布,大多數巨龍群島珠寶設計圖。,0,0,2
366,熾炎繡線,大多數巨龍群島裁縫刺繡與服飾圖樣。,0,0,2
367,炫彩繡線,大多數巨龍群島裁縫刺繡與服飾圖樣。,0,0,2
368,閃爍繡線,大多數巨龍群島裁縫刺繡與服飾圖樣。,0,0,2
369,鮮亮法術絲線,,0,123,1
370,冰凍法術絲線,,0,218,1
371,時光法術絲線,,0,218,1
372,藍色絲綢內襯,巨龍群島最樸素的史詩裝備設計圖。,0,0,0
373,血腥修補片,大多數巨龍群島特殊模組 - 血腥修補片與血腥配方。,0,0,0
