ID,Description_lang,OrderIndex,ProfTraitTreeID
1,製作洪荒熔火鎧甲。,0,105
2,在製作鎧甲時，提高靈感和精明。,1,105
3,製作大師之錘，以便隨時修復自己的鎧甲。,2,105
5,精通製造布卷和打磨布。,1,161
6,精通製造合約和書狀。,2,176
7,消耗藥水可以稍微提高移動速度或治療效果。,1,58
8,製作誘餌，引來剝皮時可產出稀有材料的生物。,0,145
9,精通製造動物符文和梵陀符文。,2,148
10,使用額外材料和最後加工材料自訂製作的武器和工具。,2,102
11,使用額外材料和最後加工材料自訂製作的皮甲。,2,126
12,使用額外材料和最後加工材料來自訂製作的鎖甲。,2,124
13,使用額外材料來自訂戒指和項鍊。,2,131
14,勘探可以讓你發現稜彩原礦，內含大量寶石。,0,128
15,在製作時，提高精明和效率。,2,207
16,找到不同類型的魔法種子，可以種在土中以便培育草藥。,1,235
17,在戶外時，獲得對於野獸和龍類的傷害加成。,0,144
18,在製作布甲時，提高靈感和精明。,1,164
19,在製作附魔商品時，提高靈感和精明。,2,240
20,在製作皮甲時，提高靈感和精明。,1,126
21,在製作鎖甲時，提高靈感和精明。,1,124
22,在製作所有珠寶設計圖成品時，提高靈感、精明和製作速度。,0,130
23,提高靈感和精明對所有珠寶設計圖的效果。,1,130
24,提高所有珠寶設計圖的製造技能。,0,130
25,發現額外材料結構圖，以自訂自己的裝備。,1,205
26,製作大師之錘，可用來修復自己的武器。,3,102
27,透過實驗學會劇毒藥水和劇毒藥劑配方。,3,59
28,收集一片碎塊，以篩選出好東西。,1,207
29,使用最後加工材料自訂布甲。,2,164
30,從你剝皮的生物身上採集額外的烹飪用肉。,2,144
31,在製作時，駕馭危險的腐朽魔法。,3,134
32,駕馭元素材料蘊含的力量，強化自己的寶石切割能力。,1,129
33,在收集暗月卡、萃取其元素和製作新暗月卡時獲得強化。,0,176
34,提高所有鍊金術配方的製造技能。,0,59
35,提高所有鍛造設計圖的製造技能。,0,169
36,提高所有附魔公式的製造技能。,0,245
37,提高所有工程結構圖的製造技能。,0,207
38,提高所有銘文學技藝的製造技能。,0,147
39,提高所有製皮圖樣的製造技能。,0,135
40,提高所有裁縫圖樣的製造技能。,0,160
41,提高所有裁縫圖樣的製作速度。,3,160
42,在採集草藥時，提高採集技能。,0,236
43,在剝取皮革、鱗片和毛皮時，提高剝皮技能。,0,143
44,在採集礦石時，提高採集技能。,0,212
45,在製造更高品質的合金和額外材料時獲得強化。,1,103
46,強化物質轉化的能力。,2,59
47,強化大量製造基礎材料的能力。,2,128
48,花費更多材料大量製造炸彈。,1,204
49,在製作PvP裝備時，提高製造技能。,2,134
50,在製作附魔公式成品時，提高製造技能。,0,240
51,強化製造提供少許戰鬥加成的雕像消耗品的能力。,3,131
52,提高藥劑實驗的成功率。,0,84
53,提高藥水實驗的成功率。,0,58
