ID,Description_lang,Title_lang,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
24,帶釀酒大師阿波到仰加印古的釀酒鍋。,護送釀酒大師阿波,15,21004,0,0,0,0,0,0,0
25,帶200個仰加叢林酒到釀酒鍋。,倒滿釀酒鍋,15,27707,0,0,0,1,0,0,0
26,殺死烏克船長。,殺死烏克船長,15,21008,0,0,0,2,0,0,0
114,殺死腐化的影潘首領。,終結恐懼,39,21048,0,0,0,0,0,0,0
115,深入墓穴，到底層進行搜索。,搜尋墓穴,39,22065,0,0,0,2,0,0,0
116,消滅攻擊綠石村村民的怪物。,拯救村民,40,20975,0,0,0,0,0,0,0
117,殺死復仇之穢。,殺死復仇之穢,40,20982,0,0,0,4,0,0,0
118,在森林尋找遭竊的酒桶，然後送回村莊的道場。,取回遭竊的酒桶,40,21059,0,0,0,2,0,0,0
123,殺死玉蛟寺裡的煞之邪力。,玉蛟寺,44,21078,0,0,0,0,0,0,0
124,擊敗在風暴烈酒酒坊作亂的部隊。,風暴烈酒酒坊,45,21087,0,0,0,0,0,0,0
125,擊敗在影潘僧院裡阻撓你的對手。,影潘僧院,46,21095,0,0,0,0,0,0,0
127,擊敗攻擊落陽關的螳螂人部隊。,落陽關,48,21100,0,0,0,0,0,0,0
128,消滅圍攻怒兆寺的螳螂人部隊。,圍攻怒兆寺,49,21105,0,0,0,0,0,0,0
129,,魔古山宮,50,21110,0,0,0,0,0,0,0
130,消滅通靈學院裡的死靈勢力。,通靈學院,51,21120,0,0,0,0,0,0,0
131,消滅血色十字軍的部隊。,血色大廳,52,21130,0,0,0,0,0,0,0
132,前往石匠區，喚醒昏迷的村民。,拯救綠石石匠區,40,21126,0,0,0,3,0,0,0
133,消滅修道院裡的血色十字軍。,血色修道院,53,21134,0,0,0,0,0,0,0
138,召喚並擊敗強大的龍龜疤殼!,疤殼,58,21323,0,0,0,0,0,0,0
139,召喚並擊敗專吃咕嚕摩的冰雪恐懼:悠格魯姆。,悠格魯姆,58,21325,0,0,0,1,0,0,0
140,召喚並擊敗好動的火靈，劉楊。,小劉楊,58,21327,0,0,0,2,0,0,0
141,召喚並擊敗流浪的揚古戰士，查剛‧火蹄。,查剛‧火蹄,58,21332,0,0,0,3,0,0,0
142,召喚並擊敗最後一位挑戰者，然後向烏丁領取獎賞!,擊敗最後挑戰者!,58,21334,0,0,0,4,0,0,0
154,幫助釀酒大師布夫的助手收集崑萊好勁道所需的原料。,酒月節,63,21845,0,0,0,0,0,0,0
155,阻止巴塔利入侵濱南村。,揚古入侵！,63,21849,0,0,0,2,0,0,0
156,殺死戰爭使者闊畢。,戰爭使者闊畢,63,21851,0,0,0,3,0,0,0
157,調查揚古出沒的狀況。,偵察報告,63,21853,0,0,0,1,0,0,0
159,協助白蘭琪釀造她遠近馳名的轟隆酒。,釀造轟隆酒,65,21993,0,0,0,0,0,0,0
160,護送白蘭琪安全通過雷爪路。,前往雷爪靜修居,65,21995,0,0,0,1,0,0,0
161,殺死『毀滅者』波羅庫拉。,拯救雷爪靜修居,65,21999,0,0,0,2,0,0,0
166,消滅憤怒的憎惡獸。,消滅煞,39,21050,0,0,0,3,0,0,0
167,殺死曾將軍，雷王的先鋒大將。,殺死曾將軍,68,22571,0,0,0,4,0,0,0
171,救出被捕的金蓮會成員。,拯救金蓮會,68,22730,0,0,0,1,0,0,0
172,阻止處決博學行者阿傅。,刀下留人,68,22732,0,0,0,2,0,0,0
173,擊敗四個遠古魔古神器的守護者。,奪取神器,68,22737,0,0,0,3,0,0,0
174,[PH] Defeat the three masters.,[PH] Defeat Masters,70,0,0,0,0,0,0,0,0
175,殺出一條血路，進入已被摧毀的塞拉摩中心。,進入廢墟,71,27452,0,0,0,2,0,0,0
179,殺了聯盟船長並在所有船上安置火藥桶。,前往水岸!,72,22975,0,0,0,0,0,0,0
180,通知爆破專家火星塞你的成功。,爆破專家,72,22989,0,0,0,1,0,0,0
181,殺死巴德拉克和他的獅鷲獸。,獅鷲獸墜落,72,22977,0,0,0,2,0,0,0
182,摧毀大貝紗，並且破壞任何無人駕駛的坦克。,消失吧，坦克!,72,22980,0,0,0,3,0,0,0
183,殺死海瑞克‧伊文凱恩，然後在據點城塞救出塔倫‧織歌者。,飛吧，間諜!,72,22986,0,0,0,4,0,0,0
185,破壞西門的攻城器械，並且取回失竊的軍旗。,破壞毀滅者,71,27457,0,0,0,4,0,0,0
186,保護珍娜，讓她能和聚源虹膜的魔法進行同化。,背水一戰,71,27460,0,0,0,5,0,0,0
193,保護船隻不被進攻的部落所傷。,歡迎來到塞拉摩,71,27242,0,0,0,0,0,0,0
194,擊敗攻擊綠石道場的怪物。,拯救道場,40,21061,0,0,0,1,0,0,0
210,消滅港口裡的部落成員。,掃蕩港口,71,27256,0,0,0,1,0,0,0
211,淨化煞對生命之池的污染。,生命之池,39,27197,0,0,0,1,0,0,0
217,到法力炸彈的坑口尋找珍娜。,普勞德摩爾女士,71,27467,0,0,0,3,0,0,0
224,找到學者舒業。,博學行者的命運,68,27622,0,0,0,0,0,0,0
367,尋找薩烏洛克洞穴的入口。,我們策騎奔馳!,179,30884,0,0,0,1,0,0,0
368,打敗看守洞穴的薩烏洛克。,守衛!,179,30568,0,0,0,2,0,0,0
369,找出薩烏洛克的來源。,源頭,179,30948,0,0,0,4,0,0,0
370,打敗育主諾許。,育主,179,30570,0,0,0,5,0,0,0
371,擊退柯爾克隆的突襲。,突襲!,179,30572,0,0,0,7,0,0,0
372,摧毀然後進入堡壘。,潛入遠古堡壘,180,30566,0,0,0,0,0,0,0
373,在泰坦傀儡被施放之前拿走越多寶物越好。,偷盜得利,180,0,0,0,0,1,0,0,0
374,對贊斐斯島發動攻擊。,襲擊贊斐斯,181,30957,0,0,0,0,0,0,0
375,摧毀音波控制哨塔並關閉贊斐斯防護盾。,贊斐斯的防禦,181,30959,0,0,0,1,0,0,0
376,攻擊沙灘並抵達贊斐斯之心。,贊斐斯之心,181,30966,0,0,0,2,0,0,0
377,擊敗海格曼上將。,打敗上將!,182,30733,0,0,0,3,0,0,0
378,保護船隻!打敗部落登船小隊。,登船小隊!,182,30721,0,0,0,0,0,0,0
379,在部落船隻上安置炸藥來摧毀它!,炸成碎片!,182,30723,0,0,0,2,0,0,0
382,與沃金交談來開始尋找薩烏洛克洞穴。,任務...,179,30886,0,0,0,0,0,0,0
383,進入洞穴的更深處。,進入洞穴,179,30939,0,0,0,3,0,0,0
384,調查魔古雕像。,調查,179,30950,0,0,0,6,0,0,0
386,加入達金‧風鬚。,飛行管理員,184,31196,0,0,0,0,0,0,0
387,打敗指揮官泰弗瑞克並取回螳螂人武器貯藏箱。,贊斐斯的武器,181,30964,0,0,0,3,0,0,0
398,幫助兩組苦力建立他們的防衛力量。,防守準備,183,30997,0,0,0,0,0,0,0
408,閃避守衛進入暗影聖堂。,進入黑暗神廟,200,31008,0,0,0,0,0,0,0
409,尋找黑穫議會的蹤跡。,尋找議會存在的跡象,200,31010,0,0,0,1,0,0,0
410,與阿卡瑪一起前往失落靈魂神殿。,跟著阿卡瑪前往失落靈魂神殿,200,31012,0,0,0,2,0,0,0
412,打敗指揮官疤口並收復紅鶴寺。,殺了指揮官疤口,183,31192,0,0,0,1,0,0,0
413,調查失落靈魂神殿。,揭發議會的計畫,200,31019,0,0,0,3,0,0,0
414,取得黑穫議會留下的靈魂水晶。,打敗秩序精華,200,31017,0,0,0,4,0,0,0
415,擊退聖匣所釋放的惡魔，接著回去苦痛大廳找阿卡瑪。,逃離失落靈魂神殿,200,31021,0,0,0,5,0,0,0
416,在時間結束前盡可能搜括寶物。,劫掠凡慾邪窟,200,31023,0,0,0,6,0,0,0
417,帶著強能靈魂之核前往神廟頂層。,前往神廟頂層,200,31034,0,0,0,7,0,0,0
419,奮戰穿越碼頭去找泰勒上將。,死亡碼頭,184,31202,0,0,0,1,0,0,0
420,打敗攻擊要塞的部落軍隊。,收復中庭!,184,31283,0,0,0,2,0,0,0
423,從軍情七處小隊那裡收集資訊。,跑腿,184,31296,0,0,0,4,0,0,0
424,保衛要塞抵抗源源不絕的部落入侵者與他們的指揮官。,守住陣線!,184,31291,0,0,0,6,0,0,0
430,對贊斐斯島發動攻擊。,襲擊贊斐斯,203,31227,0,0,0,0,0,0,0
431,摧毀音波控制哨塔並關閉贊斐斯防護盾。,贊斐斯的防禦,203,31229,0,0,0,1,0,0,0
432,攻擊沙灘並抵達贊斐斯之心。,贊斐斯之心,203,31233,0,0,0,2,0,0,0
433,打敗指揮官泰弗瑞克並取回螳螂人武器貯藏箱。,贊斐斯的武器,203,31236,0,0,0,3,0,0,0
434,找到大元帥塔文布萊德並幫忙擊退入侵的部落。,大元帥,184,31288,0,0,0,3,0,0,0
435,準備好蘇利的武器，等著保衛要塞!,做好準備,184,31300,0,0,0,5,0,0,0
436,加入克隆莎。,飛行管理員,201,31475,0,0,0,0,0,0,0
437,一路奮戰，穿過燃燒的精煉廠去找納茲格寧姆將軍。,A.C.E.部隊來襲,201,31477,0,0,0,1,0,0,0
438,打敗攻擊要塞的聯盟軍隊。,收復中庭!,201,31479,0,0,0,2,0,0,0
439,找到督軍血柄並幫忙擊退入侵的聯盟。,督軍,201,31483,0,0,0,3,0,0,0
