String_lang,ID,Flags
需要「蒼藍盟友」成就。,740,1
需要「峭壁夥伴」成就。,741,1
需要「一起翱翔天際」成就。,742,1
需要「新朋友」成就。,743,1
|cff808080這個天賦會視你的專精免費賦予，而且無法忘卻|r,910,1
再分配%d個點數即可解鎖這個天賦,911,1
經典版,953,1
外域,954,1
北裂境,955,1
浩劫與重生,956,1
潘達利亞,957,1
德拉諾,958,1
軍臨天下,959,1
庫爾提拉斯,960,1
暗影之境,961,1
巨龍群島,962,1
贊達拉,963,1
探險者,970,1
冒險者,971,1
精兵,972,1
勇士,973,1
英雄,974,1
以物品等級更高的火花重新製作這個物品後，將會永久移除風暴充能操縱器增加的插槽。|n|n確定要繼續嗎？,975,1
再分配%d個點數即可解鎖這個天賦,976,1
|cff808080這個天賦會視你的專精免費賦予，而且無法忘卻|r,977,1
神話,978,1
卡茲阿爾加,989,1
冒險者,990,1
以物品等級更高的火花重新製作這個物品後，將會永久移除熔岩雕刻者增加的插槽。|n|n確定要繼續嗎？,991,1
標籤1,992,0
標籤2,993,0
標籤3,994,0
標籤4,995,0
標籤5,996,0
以物品等級更高的火花重新製作這個物品後，將會永久移除自然搖籃增加的插槽。|n|n確定要繼續嗎？,997,1
覺醒,998,1
%s,999,0
需要$@spellname263165天賦,1000,0
將軍必須將你視為「幫凶」。,1001,1
織絲者必須將你視為「熟人」。,1002,1
織絲者必須將你視為「親信」。,1003,1
織絲者必須將你視為「共犯」。,1004,1
將軍必須將你視為「同謀者」。,1005,1
將軍必須將你視為「教唆者」。,1006,1
將軍必須將你視為「密謀者」。,1007,1
織絲者必須將你視為「智囊」。,1008,1
將軍必須將你視為「熟人」。,1009,1
將軍必須將你視為「親信」。,1010,1
將軍必須將你視為「共犯」。,1011,1
織絲者必須將你視為「同謀者」。,1012,1
織絲者必須將你視為「幫凶」。,1013,1
織絲者必須將你視為「教唆者」。,1014,1
織絲者必須將你視為「密謀者」。,1015,1
輔臣必須將你視為「熟人」。,1016,1
輔臣必須將你視為「親信」。,1017,1
輔臣必須將你視為「共犯」。,1018,1
輔臣必須將你視為「同謀者」。,1019,1
輔臣必須將你視為「幫凶」。,1020,1
輔臣必須將你視為「教唆者」。,1021,1
輔臣必須將你視為「密謀者」。,1022,1
輔臣必須將你視為「智囊」。,1023,1
將軍必須將你視為「智囊」。,1024,1
你必須購買額外的雷霆一擊,1025,1
需要$@spellname120517天賦,1026,0
需要$@spellname73325天賦,1027,0
需要$@spellname121536天賦,1028,0
需要$@spellname374348天賦,1029,0
需要$@spellname367226天賦,1030,0
需要$@spellname370553天賦,1031,0
需要$@spellname6343天賦,1032,0
需要$@spellname46968天賦,1033,0
需要$@spellname29725天賦,1034,0
需要$@spellname227847天賦,1036,0
需要$@spellname265187天賦,1037,0
需要$@spellname1122天賦,1038,0
需要$@spellname108558天賦,1039,0
需要$@spellname386997天賦,1041,0
需要$@spellname375982天賦,1042,0
需要$@spellname200071天賦或$@spellname73685天賦,1043,0
需要$@spellname51564天賦,1044,0
需要$@spellname79206天賦,1045,0
需要$@spellname210689天賦,1046,0
需要$@spellname6343天賦和$@spellname107574天賦,1047,0
需要$@spellname108416天賦,1049,0
需要$@spellname107570天賦,1050,0
需要$@spellname3411天賦,1051,0
需要$@spellname268358天賦,1052,0
需要$@spellname4584天賦,1053,0
需要$@spellname106898天賦,1054,0
需要$@spellname274837天賦,1055,0
需要$@spellname80313天賦,1056,0
需要$@spellname202770天賦或$@spellname274281天賦,1057,0
需要$@spellname204066天賦,1058,0
需要$@spellname203964天賦,1059,0
需要$@spellname102401天賦,1060,0
需要$@spellname205636天賦,1061,0
需要$@spellname102693天賦,1062,0
需要$@spellname392356天賦,1063,0
需要$@spellname390378天賦或$@spellname450184天賦,1064,0
需要$@spellname102793天賦,1065,0
需要$@spellname194878天賦,1066,0
需要$@spellname279302天賦,1067,0
需要$@spellname42650天賦,1068,0
需要$@spellname232893天賦,1070,0
需要$@spellname179057天賦,1071,0
需要$@spellname360194天賦,1072,0
需要$@spellname382245天賦,1073,0
需要$@spellname57934天賦,1074,0
需要$@spellname381988天賦,1075,0
需要$@spellname359844天賦,1076,0
需要$@spellname288613天賦,1077,0
需要$@spellname19574天賦,1078,0
需要$@spellname360952天賦,1079,0
需要$@spellname153561天賦,1080,0
需要$@spellname153595天賦,1081,0
需要$@spellname342245天賦,1082,0
需要$@spellname389713天賦,1083,0
需要$@spellname382440天賦,1084,0
需要$@spellname55342天賦,1085,0
需要$@spellname365350天賦,1086,0
需要$@spellname12472天賦,1087,0
需要$@spellname190319天賦,1088,0
需要$@spellname384581天賦,1089,0
需要$@spellname2948天賦,1090,0
需要$@spellname157980天賦,1091,0
Requires $@spellname399491 talent,1092,0
Requires $@spellname388917 talent,1093,0
Requires $@spellname322118 talent or $@spellname325197 talent,1094,0
Requires $@spellname123904 talent,1095,0
Requires $@spellname457397 talent,1096,0
Requires $@spellname451505 talent,1097,0
Requires $@spellname388193 talent,1098,0
Requires $@spellname322507 talent,1099,0
Requires $@spellname123986 talent or $@spellname450391 talent,1100,0
Requires $@spellname116841 talent,1101,0
Requires $@spellname255937 talent,1102,0
Requires $@spellname114165 talent or $@spellname148039 talent,1103,0
Requires $@spellname384376 talent,1104,0
Requires $@spellname53595 talent or $@spellname204019 talent,1105,0
Requires $@spellname387174 talent,1106,0
Requires $@spellname375576 talent,1107,0
Requires $@spellname6940 talent,1108,0
Requires $@spellname190784 talent,1109,0
